#Format: JPTC-DARK/1
#Tool: jptc-collect 0.1.0
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-20T14:32:20.701Z
#
# Every value below is as measured. No correction of any kind has been
# applied: not Sheppard, not the /sqrt(2) on a difference, nothing that can
# be recomputed from these numbers. The one irreversible step is the sigma
# clip, whose inputs are all recorded here.
#
#Camera: Sony ILCE-7RM4A
#ImageWidth: 9504
#ImageHeight: 6336
#ImagePixels: 60217344
#Firmware: 1.13
#Lens: Viltrox AF 35 f1.8 EVO
#ShutterType: 机械快门
#Compression: 无压缩
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#
#AdcStep: 1
#LinearisationCurve: companded
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 9600x6376
#CropMosaic: 5900x3900
#PlanePerChannel: 2950x1950
#
#ClipSigma: 3.5
#ClipVarianceFactor: 0.9938883771107201
# StdDiff columns are the standard deviation of A-B itself. Not halved, not
# divided by sqrt(2). StdDiffClipped is the same after the sigma clip; the
# unclipped value is kept beside it so the clip can be judged.
#
# ShutterSec is what LibRaw resolved the shutter to, and which EXIF field it
# took depends on the camera: ExposureTime normally, ShutterSpeedValue when
# that is missing, and for some vendors a maker-note field instead. It is also
# a float, so a stored 10/2500 comes back as 0.004000000189989805 -- that tail
# is float32 rounding, not information from the camera.
# ExposureTimeExif (0x829A) and ShutterApexExif (0x9201, APEX, t = 2^-v) are
# therefore recorded verbatim as the fractions the file holds, empty when the
# camera wrote no such field. Which of them to trust is an analysis decision.
ISO,ShutterSec,ExposureTimeExif,ShutterApexExif,Channel,ColorIndex,N,FileA,FileB,BlackA,BlackB,StdA,StdB,StdAMasked,StdDiff,StdDiffClipped,DiffMean,Rejected,WithinRowVarSingle,WithinColVarSingle,WithinRowVarDiff,WithinColVarDiff
100,0.004999999888241291,1/200,,C00,0,5752500,DSC06515.ARW,DSC06516.ARW,512.020493698392,512.270946023468,1.5644427118175295,1.513657609565611,1.4143354051110606,2.1746333514722154,1.9013966742223434,-0.2504523250760539,54508,2.427223262280954,2.44580498984833,4.690575268763027,4.726362087832489
100,0.004999999888241291,1/200,,C01,1,5752500,DSC06515.ARW,DSC06516.ARW,512.0276516297262,512.252649109083,1.56036869248969,1.511459754399951,1.409908335130738,2.1683212048094536,1.8987700821867444,-0.2249974793568014,54062,2.4131005594325208,2.4331038694881855,4.659169348507288,4.698904672082369
100,0.004999999888241291,1/200,,C10,3,5752500,DSC06515.ARW,DSC06516.ARW,512.0794623207302,512.0950974358974,1.5745747518375226,1.5707990257849513,1.4199773103765339,2.2116752212661237,1.9349470140702525,-0.015635115167318556,56886,2.458130358591331,2.477651636055665,4.84842069331684,4.88877909127581
100,0.004999999888241291,1/200,,C11,2,5752500,DSC06515.ARW,DSC06516.ARW,512.1066736201651,512.1057366362451,1.5214984445178061,1.521673865441275,1.3821146523337102,2.1398467303194653,1.8904613248081674,0.0009369839200347675,51209,2.2944205784662426,2.3134676702882744,4.542677941941234,4.5764396415382365
125,0.004999999888241291,1/200,,C00,0,5752500,DSC06513.ARW,DSC06514.ARW,512.1356905693177,512.1247989569753,1.910759262612626,1.914809991838622,1.7210259325703574,2.6990931206129423,2.3553282998692486,0.0108916123424598,49119,3.616721503252092,3.6484159058603263,7.217210444272564,7.2811484355297145
125,0.004999999888241291,1/200,,C01,1,5752500,DSC06513.ARW,DSC06514.ARW,512.1507389830508,512.1312966536289,1.9111601133606761,1.9101689214575062,1.7200363601132524,2.6959206164569878,2.3544052370993613,0.01944232942199044,48970,3.6138692526609693,3.6502112870435353,7.192941241936074,7.263878721893493
125,0.004999999888241291,1/200,,C10,3,5752500,DSC06513.ARW,DSC06514.ARW,512.2185284658844,512.2018223381139,1.9342318890025902,1.9334884216670227,1.735541106279842,2.716221007954628,2.3632003411757463,0.01670612777053455,51188,3.702383756922195,3.7388563997370263,7.300760203006798,7.373712070069874
125,0.004999999888241291,1/200,,C11,2,5752500,DSC06513.ARW,DSC06514.ARW,511.98724919600176,512.2305291612342,1.8732084995145033,1.86203009721928,1.6896138096507058,2.6228195381667856,2.2924003157762307,-0.2432799652325076,53305,3.472892424310734,3.506359720433686,6.813900873282794,6.875502979975255
160,0.004999999888241291,1/200,,C00,0,5752500,DSC06511.ARW,DSC06512.ARW,512.125129595828,512.3724766623208,2.3509109164462574,2.3190400261295974,2.0965236011935895,3.293004810093858,2.834156403906258,-0.2473470664928292,55588,5.481013257787701,5.522863899263416,10.751818255231683,10.83796669024616
160,0.004999999888241291,1/200,,C01,1,5752500,DSC06511.ARW,DSC06512.ARW,512.3852149500217,512.1314218166015,2.311119452994461,2.3494800889771454,2.0514470105271196,3.286207061320164,2.823938217022032,0.25379313342025206,55129,5.290242588528194,5.3381695285216,10.699314246274659,10.79352869606305
160,0.004999999888241291,1/200,,C10,3,5752500,DSC06511.ARW,DSC06512.ARW,512.4722296392873,512.2131191655802,2.3416977610911704,2.3759843768112145,2.0695221052946726,3.3148164158469355,2.836755574367729,0.2591104737070839,57632,5.430926281601963,5.480207574855971,10.88749924999448,10.982260455677036
160,0.004999999888241291,1/200,,C11,2,5752500,DSC06511.ARW,DSC06512.ARW,512.2461138635376,512.2398590178184,2.292229855554078,2.298258261886535,2.0451300008940323,3.226475395456604,2.778497276982057,0.006254845719252499,59507,5.2071997179708145,5.250573289561938,10.3261116435448,10.404585038389113
200,0.004999999888241291,1/200,,C00,0,5752500,DSC06509.ARW,DSC06510.ARW,512.2220815297696,511.97395636679704,2.9036846004084884,2.9121234317797198,2.5699384107952765,4.103250762197818,3.5103251337063264,0.2481251629726206,56594,8.36258856744671,8.426069127937657,16.69905308176992,16.827737853642184
