#BlackLevel: 512,512,512,512,,,,,,,
#ImageHeight: 6336,,,,,,,,,,
#Mode: Independent
# Ingest: removed one exact duplicate of every data row (84 rows to 42).
# Ingest: corrected RawSize height 6376 to the 9504x6336 image height recorded by the matching dark set.
Filename,Row,Col,R_Mean,G1_Mean,G2_Mean,B_Mean,R_Std,G1_Std,G2_Std,B_Std
imgDSC02095.ARW,1,1,16383,16383,16383,16383,0,0,0,0
imgDSC02045.ARW,1,1,16382.9474,16383,16383,8341.1421,1.3099,0,0,54.687
imgDSC02046.ARW,1,1,13248.6312,16383,16383,6707.1917,75.1442,0,0,47.8054
imgDSC02047.ARW,1,1,10562.4918,16383,16383,5401.1361,64.4953,0,0,41.2056
imgDSC02048.ARW,1,1,8405.846,13476.4419,13493.7295,4355.9983,54.5812,80.26,83.0899,37.5452
imgDSC02049.ARW,1,1,6747.2401,10749.5963,10762.2947,3546.2112,46.576,66.848,68.9491,31.9477
imgDSC02050.ARW,1,1,5433.0012,8593.143,8603.366,2907.7398,40.711,57.3642,58.5558,27.6415
imgDSC02051.ARW,1,1,4402.4791,6899.0686,6909.3363,2406.7585,43.0019,58.0454,59.6284,29.5425
imgDSC02052.ARW,1,1,3596.8589,5577.8614,5585.4279,2014.1648,37.9759,50.8384,51.9332,25.9326
imgDSC02053.ARW,1,1,2963.2643,4535.4932,4542.2051,1705.2516,33.5298,44.7148,45.5493,22.8207
imgDSC02054.ARW,1,1,2449.5775,3692.8395,3698.0649,1455.3568,29.8452,39.5316,39.7955,20.2269
imgDSC02055.ARW,1,1,2046.4115,3032.5753,3037.1176,1259.3889,26.602,34.6785,35.0899,17.8433
imgDSC02056.ARW,1,1,1736.6062,2524.6305,2527.7366,1108.5115,23.4264,30.51,30.8995,15.7525
imgDSC02057.ARW,1,1,1481.8669,2105.5179,2107.846,983.6594,20.4845,27.0625,27.3044,14.0089
imgDSC02058.ARW,1,1,1286.1274,1783.0299,1784.4163,888.1357,18.4986,24.0932,24.1677,12.3807
imgDSC02059.ARW,1,1,1120.9985,1511.8431,1513.3813,807.5625,16.4052,21.2299,21.3097,10.9938
imgDSC02060.ARW,1,1,998.2052,1309.6015,1310.7435,747.6523,14.5813,18.9502,19.0132,9.8017
imgDSC02061.ARW,1,1,898.2994,1145.6667,1146.7529,698.9491,13.0825,16.9022,16.8753,8.7195
imgDSC02062.ARW,1,1,818.3534,1014.3795,1015.4016,660.1394,11.6892,14.9373,15.1368,7.9744
imgDSC02063.ARW,1,1,754.5162,910.3238,911.031,629.2302,10.2903,13.3622,13.3208,7.1343
imgDSC02064.ARW,1,1,705.257,829.1531,829.5121,605.277,9.3085,11.8978,11.8516,6.4652
imgDSC02065.ARW,1,1,632.8372,710.3126,710.7091,570.2386,7.4686,9.482,9.4142,4.949
imgDSC02066.ARW,1,1,608.5151,670.4311,670.8423,558.7027,6.7111,8.3246,8.3122,4.5124
imgDSC02067.ARW,1,1,588.5583,637.1586,637.5752,548.7364,5.7561,7.559,7.5676,4.0732
imgDSC02068.ARW,1,1,572.5883,611.6809,611.817,541.0412,5.3296,6.7075,6.7192,3.5379
imgDSC02069.ARW,1,1,559.8992,590.6307,590.7677,535.2967,4.68,5.732,5.8127,3.2274
imgDSC02070.ARW,1,1,549.9919,574.6864,574.8028,530.7157,4.3912,5.5376,5.4872,2.9876
imgDSC02071.ARW,1,1,541.9714,561.541,561.6696,526.7114,3.6929,4.5994,4.629,2.9391
imgDSC02072.ARW,1,1,536.1034,551.5935,551.6642,523.4372,3.3562,4.518,4.4969,2.7413
imgDSC02073.ARW,1,1,531.1875,543.1096,543.2528,520.8836,3.0953,3.8289,3.8014,2.3152
imgDSC02074.ARW,1,1,527.1519,536.8532,536.9628,519.0206,3.0462,3.3797,3.3848,2.0848
imgDSC02075.ARW,1,1,523.7732,531.6582,531.8164,517.3218,2.8779,3.1473,3.1559,1.9921
imgDSC02076.ARW,1,1,519.2126,524.2814,524.4102,515.5873,2.1878,2.9704,2.9696,1.7556
imgDSC02077.ARW,1,1,517.6949,521.477,521.5762,514.8561,2.0304,2.5158,2.5278,1.676
imgDSC02078.ARW,1,1,516.6181,519.5813,519.6561,514.3452,1.902,2.2199,2.2354,1.6052
imgDSC02079.ARW,1,1,515.6922,518.0288,518.1146,513.9202,1.8176,2.0663,2.0794,1.5551
imgDSC02080.ARW,1,1,514.9059,516.7901,516.8782,513.5285,1.727,1.9378,1.9596,1.4958
imgDSC02081.ARW,1,1,514.3297,515.8046,515.8871,513.2433,1.6586,1.8293,1.857,1.4619
imgDSC02082.ARW,1,1,513.8868,515.0829,515.1706,513.0406,1.6084,1.7476,1.782,1.4651
imgDSC02083.ARW,1,1,513.5382,514.4852,514.5506,512.8767,1.5745,1.6752,1.7127,1.4223
imgDSC02084.ARW,1,1,513.235,513.9852,514.0638,512.7352,1.5296,1.6316,1.6454,1.4363
imgDSC02085.ARW,1,1,513.0022,513.6215,513.6823,512.6354,1.5215,1.5902,1.5815,1.4217
