#Format: JPTC-DARK/1
#Tool: jptc-collect 0.1.0
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-18T17:15:41.359Z
#
# Every value below is as measured. No correction of any kind has been
# applied: not Sheppard, not the /sqrt(2) on a difference, nothing that can
# be recomputed from these numbers. The one irreversible step is the sigma
# clip, whose inputs are all recorded here.
#
#Camera: Sony ILCE-7RM6
#ImageWidth: 9984
#ImageHeight: 6656
#ImagePixels: 66453504
#Firmware: 1.0.1
#Lens: 2470GM2
#ShutterType: 电子快门
#Compression: 无损压缩
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#
#AdcStep: 1
#LinearisationCurve: companded
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 10240x7168
#CropMosaic: 5900x3900
#PlanePerChannel: 2950x1950
#
#ClipSigma: 3.5
#ClipVarianceFactor: 0.9938883771107201
# StdDiff columns are the standard deviation of A-B itself. Not halved, not
# divided by sqrt(2). StdDiffClipped is the same after the sigma clip; the
# unclipped value is kept beside it so the clip can be judged.
#
# ShutterSec is what LibRaw resolved the shutter to, and which EXIF field it
# took depends on the camera: ExposureTime normally, ShutterSpeedValue when
# that is missing, and for some vendors a maker-note field instead. It is also
# a float, so a stored 10/2500 comes back as 0.004000000189989805 -- that tail
# is float32 rounding, not information from the camera.
# ExposureTimeExif (0x829A) and ShutterApexExif (0x9201, APEX, t = 2^-v) are
# therefore recorded verbatim as the fractions the file holds, empty when the
# camera wrote no such field. Which of them to trust is an analysis decision.
ISO,ShutterSec,ExposureTimeExif,ShutterApexExif,Channel,ColorIndex,N,FileA,FileB,BlackA,BlackB,StdA,StdB,StdAMasked,StdDiff,StdDiffClipped,DiffMean,Rejected,WithinRowVarSingle,WithinColVarSingle,WithinRowVarDiff,WithinColVarDiff
50,0.004999999888241291,1/200,,C00,0,5752500,DSC04693.ARW,DSC04694.ARW,512.3633795740982,512.3398218166014,1.9612677885560725,1.9371013605310154,1.8735994871602564,2.7019393890539014,2.542253781949829,0.023557757496740547,31421,3.836255707894127,3.843132912379235,7.28178489529239,7.296392303903536
50,0.004999999888241291,1/200,,C01,1,5752500,DSC04693.ARW,DSC04694.ARW,512.2719975662756,512.2839622772708,1.980246148100924,1.9824910487710439,1.9081226837860599,2.754128475118928,2.617354445674803,-0.01196471099521947,23154,3.9112739478634997,3.9177795826563804,7.565384279789918,7.580973853775944
50,0.004999999888241291,1/200,,C10,3,5752500,DSC04693.ARW,DSC04694.ARW,512.2854390265102,512.2955647109952,1.945654886858912,1.9477098300469244,1.8656740553330289,2.699669189176494,2.550384574272887,-0.010125684485006519,29536,3.775262407648848,3.782208797512797,7.26883303100346,7.284250408495745
50,0.004999999888241291,1/200,,C11,2,5752500,DSC04693.ARW,DSC04694.ARW,512.3219760104303,512.2746661451542,1.894011571798849,1.8683303248829544,1.8171076034991454,2.6230248338122797,2.4813994071431122,0.04730986527596697,27843,3.574967975603832,3.5841580575669454,6.861549034273946,6.876233400238478
64,0.004999999888241291,1/200,,C00,0,5752500,DSC04695.ARW,DSC04696.ARW,512.2786167753151,512.3230054758801,2.3568076091349526,2.3605531084789653,2.2433820019436186,3.28926903777594,3.076859967910332,-0.04438870056497175,33764,5.541748732916418,5.549554608007671,10.795543353737129,10.813000797601921
64,0.004999999888241291,1/200,,C01,1,5752500,DSC04695.ARW,DSC04696.ARW,512.3175833116037,512.3439594958713,2.4032787779818263,2.4051446105972847,2.3083900883623403,3.3470845649029366,3.1657353079178483,-0.02637618426770969,25677,5.761095400643791,5.770669309709272,11.175188502272414,11.196521233265331
64,0.004999999888241291,1/200,,C10,3,5752500,DSC04695.ARW,DSC04696.ARW,512.2829754019991,512.269115688831,2.3595196028633163,2.3602422846908255,2.2546224745661614,3.285160126951587,3.0856985439906057,0.013859713168187744,31860,5.5525310129862575,5.56237786790581,10.765553106784786,10.785946974046954
64,0.004999999888241291,1/200,,C11,2,5752500,DSC04695.ARW,DSC04696.ARW,512.301590960452,512.262783833116,2.28129877716237,2.2763349668939346,2.1812725048727564,3.1860233920064593,2.9967848281209104,0.0388071273359409,29594,5.189544578024285,5.19977118817905,10.126611165256028,10.144969790882445
80,0.004999999888241291,1/200,,C00,0,5752500,DSC04697.ARW,DSC04698.ARW,512.294964450239,512.3510543242069,2.9026546545521072,2.9080564952189856,2.7630880791197425,4.06533216830219,3.806992031061604,-0.05608987396784007,31214,8.404783804418122,8.41846343792554,16.48479051053707,16.517780589933064
80,0.004999999888241291,1/200,,C01,1,5752500,DSC04697.ARW,DSC04698.ARW,512.2936069534985,512.3078896132116,2.941233193233912,2.9502103765783714,2.8082911077977335,4.122442294079901,3.8672109915191437,-0.014282659713168187,31482,8.630693193202639,8.64345435808287,16.958074927422874,16.985410434348516
80,0.004999999888241291,1/200,,C10,3,5752500,DSC04697.ARW,DSC04698.ARW,512.3336738809213,512.2739907866145,2.8965688481650513,2.898161888178116,2.767459644399696,4.058886466693526,3.8120196475874035,0.05968309430682312,29212,8.370489029824917,8.382825508909157,16.436317205223972,16.465472664950568
80,0.004999999888241291,1/200,,C11,2,5752500,DSC04697.ARW,DSC04698.ARW,512.3385060408518,512.2987678400696,2.808838906941073,2.8033402478258274,2.6736708806144622,3.935727559774915,3.6783636316815094,0.03973820078226858,35159,7.868314281159977,7.882893355531023,15.451806356263685,15.481658538829224
100,0.004999999888241291,1/200,,C00,0,5752500,DSC04699.ARW,DSC04700.ARW,512.3066047805302,512.3637940026075,1.9352565208666705,1.9425516254876465,1.8489388663284607,2.6886970282875775,2.530402191564066,-0.057189222077357674,31126,3.7354322944629907,3.7418402651244245,7.210025435956357,7.224858365972462
100,0.004999999888241291,1/200,,C01,1,5752500,DSC04699.ARW,DSC04700.ARW,512.2450475445459,512.2651716644937,1.9767313995762912,1.9748582725245174,1.9056899062352732,2.7429062669564304,2.607671567461739,-0.02012411994784876,22803,3.897866134900813,3.903764918262969,7.504421133921112,7.519291011845459
100,0.004999999888241291,1/200,,C10,3,5752500,DSC04699.ARW,DSC04700.ARW,512.2563207301173,512.294585136897,1.9414086785205646,1.9401431640510125,1.8617776019474832,2.6926438540089097,2.543370641417673,-0.03826440677966102,29565,3.7594627283347752,3.765774581575453,7.231623902827806,7.24625926814429
100,0.004999999888241291,1/200,,C11,2,5752500,DSC04699.ARW,DSC04700.ARW,512.3093811386353,512.3051026510213,1.8742168468708027,1.875031945336989,1.7992287728161909,2.6084001467743634,2.4671603634612778,0.004278487614080834,27590,3.5016319658807222,3.509567832848592,6.787260707577399,6.799850769364505
125,0.004999999888241291,1/200,,C00,0,5752500,DSC04701.ARW,DSC04702.ARW,512.3566447631465,512.3771276836159,2.3751538243390766,2.390526927126593,2.260991935171135,3.3295587570362275,3.115123175611441,-0.02048292046936115,34550,5.627419601558638,5.636555795718687,11.05871938491001,11.079817578176716
125,0.004999999888241291,1/200,,C01,1,5752500,DSC04701.ARW,DSC04702.ARW,512.2405156019122,512.28281164711,2.410395947243805,2.3992292272512823,2.3152685110377638,3.363651405492975,3.1828287760096217,-0.04229604519774011,25641,5.795039658217876,5.805086071384781,11.286250911571234,11.307542170249281
125,0.004999999888241291,1/200,,C10,3,5752500,DSC04701.ARW,DSC04702.ARW,512.2286113863538,512.3043169056932,2.3656285951143268,2.357419922899285,2.2605645392010176,3.3022697067327726,3.104983475434544,-0.07570551933941765,31827,5.581459334438236,5.591296034678352,10.877308721248678,10.898761886805092
125,0.004999999888241291,1/200,,C11,2,5752500,DSC04701.ARW,DSC04702.ARW,512.3223742720556,512.2565569752281,2.293895445977699,2.30141816051142,2.193695924025026,3.215960712074033,3.0271764852447194,0.06581729682746632,30232,5.244740305747688,5.257360325566357,10.315801044851518,10.336326588885525
160,0.004999999888241291,1/200,,C00,0,5752500,DSC04703.ARW,DSC04704.ARW,512.3847335940895,512.4684578878748,2.9162842953368258,2.926846300987604,2.777515349143986,4.079454229199335,3.8185746192720975,-0.08372429378531074,31590,8.484447382199322,8.4977494592095,16.60148161327058,16.63218016603705
160,0.004999999888241291,1/200,,C01,1,5752500,DSC04703.ARW,DSC04704.ARW,512.3232707518471,512.3240738809213,2.946627077410386,2.9522244163357585,2.8123405208865555,4.127917383620163,3.8705467900305512,-0.000803129074315515,31779,8.662971801795798,8.675040554942669,17.00472631966943,17.029685170906763
