#Format: JPTC/2
#Tool: jptc-collect 0.1.0
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-18T16:59:20.912Z
#
# Every value below is as measured. No correction of any kind has been
# applied, and no black level has been subtracted. The black level belongs
# to the dark set, which is why that one is shot first.
#
#Camera: Sony ILCE-7RM6
#ImageWidth: 9984
#ImageHeight: 6656
#ImagePixels: 66453504
#Firmware: 1.0.1
#Lens: 2470GM2
#ShutterType: 电子快门
#Compression: 无损压缩
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#
#AdcStep: 1
#LinearisationCurve: companded
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 10240x7168
#SensorBlackTag: 512
#SensorMaximum: 16383
#Pairing: Differential
#CropMosaic: 512x512
#PlanePerChannel: 256x256
#ISO: 100
#ClipSigma: 3.5
#ClipVarianceFactor: 0.9938883771107201
#ChannelOrder: R,G1,G2,B by colour. G1 shares its row with red.
# Levels are raw. No black level has been subtracted, and none is quoted:
# the black level is a measurement of its own and lives in the dark set,
# which travels in the same submission. Joining the two is an analysis
# step, and doing it here would make one entry depend on another having
# been processed first -- a rule the person shooting should not have to know.
# StdDiff is the standard deviation of A-B. Not halved, not corrected.
# StdDiffClipped is the same after the sigma clip; the unclipped value is
# kept beside it so the clip can be judged rather than trusted.
#
# ShutterSec is what LibRaw resolved the shutter to, and which EXIF field it
# took depends on the camera: ExposureTime normally, ShutterSpeedValue when
# that is missing, and for some vendors a maker-note field instead. It is also
# a float, so a stored 10/2500 comes back as 0.004000000189989805 -- that tail
# is float32 rounding, not information from the camera.
# ExposureTimeExif (0x829A) and ShutterApexExif (0x9201, APEX, t = 2^-v) are
# therefore recorded verbatim as the fractions the file holds, empty when the
# camera wrote no such field. Which of them to trust is an analysis decision.
# The two frames of a pair are grouped on an identical ShutterSec, so the
# fractions below are the ones frame A holds.
ISO,ShutterSec,ExposureTimeExif,ShutterApexExif,Aperture,Filename,FileB,N,R_Mean,G1_Mean,G2_Mean,B_Mean,R_Std,G1_Std,G2_Std,B_Std,R_MeanB,G1_MeanB,G2_MeanB,B_MeanB,R_StdB,G1_StdB,G2_StdB,B_StdB,R_StdMasked,G1_StdMasked,G2_StdMasked,B_StdMasked,R_StdDiff,G1_StdDiff,G2_StdDiff,B_StdDiff,R_StdDiffClipped,G1_StdDiffClipped,G2_StdDiffClipped,B_StdDiffClipped,R_DiffOffset,G1_DiffOffset,G2_DiffOffset,B_DiffOffset,R_Rejected,G1_Rejected,G2_Rejected,B_Rejected,R_ClipFrac,G1_ClipFrac,G2_ClipFrac,B_ClipFrac
100,1,1/1,,0,DSC04762.ARW,DSC04763.ARW,65536,16383,16383,16383,16383,0,0,0,0,16383,16383,16383,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
100,0.625,10/16,,0,DSC04764.ARW,DSC04765.ARW,65536,15388.797561645508,16383,16383,16383,92.51203994570112,0,0,0,15386.651824951172,16383,16383,16383,93.03886910398695,0,0,0,92.4243327297402,0,0,0,115.5711100760619,0,0,0,115.21524793945372,0,0,0,2.1457366943359375,0,0,0,30,0,0,0,0,1,1,1
100,0.4000000059604645,10/25,,0,DSC04766.ARW,DSC04767.ARW,65536,9833.397521972656,16383,16383,12774.340560913086,70.29657234587617,0,0,80.31018887153932,9835.804946899414,16383,16383,12774.088424682617,69.94815763682972,0,0,80.46164966555986,70.21681343471242,0,0,80.16607187224615,90.83181166824234,0,0,100.83848651013913,90.60229440747746,0,0,100.34746226577538,-2.4074249267578125,0,0,0.25213623046875,25,0,0,48,0,1,1,0
100,0.25,1/4,,0,DSC04768.ARW,DSC04769.ARW,65536,6369.586959838867,12628.55355834961,12617.062606811523,8210.471908569336,53.97852662801201,85.56131163393283,92.14009804236987,63.01712232659689,6370.794052124023,12629.527908325195,12618.04899597168,8211.607284545898,54.04764552595021,85.41049362745888,91.88935811084103,63.07868894643775,53.91087004255297,85.46119303944141,92.06539773799335,62.923907665259584,71.86208926833825,103.9752871232926,104.12635845621084,81.19815203471735,71.64795801712252,103.6441858991722,103.88415307201946,80.87064493922618,-1.20709228515625,-0.9743499755859375,-0.98638916015625,-1.1353759765625,30,32,23,40,0,0,0,0
100,0.1666666716337204,1/6,,0,DSC04770.ARW,DSC04771.ARW,65536,4204.783660888672,8133.260986328125,8125.552261352539,5362.683609008789,41.5581400848188,64.61790059129738,68.02184640087012,47.58097195237066,4203.994766235352,8131.181213378906,8123.655227661133,5361.518081665039,41.82470023537673,64.83556301384422,67.48119387054017,47.680616851779945,41.49770890088789,64.48800184273053,67.91545341844466,47.48760154694878,56.55017215552081,82.39173891323775,81.86336753098416,62.94760311494602,56.39247637829291,81.9581949378993,81.54088187947951,62.67173213196173,0.7888946533203125,2.07977294921875,1.89703369140625,1.16552734375,28,53,41,42,0,0,0,0
100,0.10000000149011612,1/10,,0,DSC04772.ARW,DSC04773.ARW,65536,2835.9990234375,5298.783096313477,5294.074630737305,3561.948760986328,32.80736340482045,48.9810976995742,51.11029695558266,36.869827854041795,2836.2522735595703,5298.582489013672,5294.327560424805,3562.0061798095703,32.77043436001437,48.986938882095295,50.789241079089386,36.88000260521767,32.76033543150842,48.897198856752226,51.07617515804802,36.79375832045304,45.19653407869083,64.59896599410685,64.72810036604677,49.875389535472145,45.05334262532448,64.3564750060328,64.57465335742823,49.62827947761203,-0.2532501220703125,0.2006072998046875,-0.2529296875,-0.0574188232421875,32,36,24,47,0,0,0,0
100,0.06666667014360428,1/15,,0,DSC04774.ARW,DSC04775.ARW,65536,1975.5092010498047,3524.015884399414,3521.5995483398438,2432.0846252441406,25.771559088053987,37.81173976511099,38.68681908549739,28.85813284608937,1975.1211395263672,3522.5259857177734,3520.0715942382812,2431.322952270508,25.799793550908113,37.916820324832784,38.63774712449074,28.89599076110086,25.729059313385815,37.75409794191369,38.625442260160256,28.80017655344807,35.700043312800545,51.091940146700324,50.72522899062626,39.67503969761337,35.57770943715615,50.921680407860336,50.53383221640531,39.50575388653131,0.3880615234375,1.489898681640625,1.5279541015625,0.7616729736328125,34,34,39,41,0,0,0,0
100,0.03999999910593033,1/25,,0,DSC04776.ARW,DSC04777.ARW,65536,1435.763931274414,2412.964370727539,2411.234634399414,1723.143798828125,20.297804472859596,29.503063039356885,29.871670038529032,22.581829814337343,1435.8067321777344,2413.5626525878906,2411.427947998047,1722.8096008300781,20.31139368322659,29.69027440284878,30.05475326205501,22.490751284158762,20.256005267953817,29.45505283367904,29.834912276651316,22.531921119738364,28.27934662777192,40.468375710130715,40.55671258099077,31.23110311884933,28.15741171271196,40.32932781781326,40.444150490809605,31.097675525363954,-0.0428009033203125,-0.5982818603515625,-0.1933135986328125,0.334197998046875,41,32,27,43,0,0,0,0
100,0.02500000037252903,1/40,,0,DSC04778.ARW,DSC04779.ARW,65536,1093.3373413085938,1709.478271484375,1708.318618774414,1274.6102294921875,16.273064719360285,23.200800643701783,23.493292920713415,17.92115251217798,1093.3604278564453,1709.2926177978516,1708.0949401855469,1274.5950622558594,16.20332270385278,23.300437896574557,23.432440326704906,17.922654438138828,16.246216765980684,23.172214346344813,23.456725789353555,17.90161747942798,22.828339295681342,32.174446341090515,32.260025903792055,25.033857571875426,22.750296204260795,32.09946814136879,32.15721649473644,24.965331893422192,-0.0230865478515625,0.1856536865234375,0.2236785888671875,0.015167236328125,35,24,32,27,0,0,0,0
100,0.01666666753590107,1/60,,0,DSC04780.ARW,DSC04781.ARW,65536,877.7687072753906,1265.9526824951172,1265.2665100097656,991.3993682861328,12.735073700498537,18.455798522380583,18.596970318982297,14.08147841639173,877.8538208007812,1266.0959167480469,1265.5213317871094,991.5126037597656,12.777945543835482,18.4746102540022,18.486433643531477,14.069746151231584,12.712196394391636,18.433086846044137,18.566585114077903,14.05723261298561,17.95095988974196,25.74993645205934,25.70861673416381,19.687329593184607,17.882841709653086,25.685490539679734,25.61519888083644,19.620186084768108,-0.085113525390625,-0.1432342529296875,-0.25482177734375,-0.1132354736328125,38,25,36,35,0,0,0,0
