#Format: JPTC-DARK/1
#Tool: jptc-collect 0.1.4
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-20T17:07:05.477Z
#
# Every value below is as measured. No correction of any kind has been
# applied: not Sheppard, not the /sqrt(2) on a difference, nothing that can
# be recomputed from these numbers. The one irreversible step is the sigma
# clip, whose inputs are all recorded here.
#
#Camera: Leica M11 Monochrom
#ImageWidth: 9528
#ImageHeight: 6328
#ImagePixels: 60293184
#Firmware: 2.6.1
#Lens: none-bodycap
#ShutterType: 机械快门
#Compression: 喵
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: GMCY
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 9536x6336
#CropMosaic: 5900x3900
#PlanePerChannel: 2950x1950
#
#ClipSigma: 3.5
#ClipVarianceFactor: 0.9938883771107201
# StdDiff columns are the standard deviation of A-B itself. Not halved, not
# divided by sqrt(2). StdDiffClipped is the same after the sigma clip; the
# unclipped value is kept beside it so the clip can be judged.
#
# ShutterSec uses the standard ExposureTime in seconds when present, then
# ShutterSpeedValue converted from APEX, then LibRaw as a fallback. For
# example, Leica may store both 1/80 and an APEX value that converts to
# 1/80.56. These are camera records, not a measurement of shutter travel.
# ExposureTimeExif (0x829A) and ShutterApexExif (0x9201, APEX, t = 2^-v) are
# therefore recorded verbatim as the fractions the file holds, empty when the
# camera wrote no such field, so the selected value remains auditable.
ISO,ShutterSec,ExposureTimeExif,ShutterApexExif,Channel,ColorIndex,N,FileA,FileB,BlackA,BlackB,StdA,StdB,StdAMasked,StdDiff,StdDiffClipped,DiffMean,Rejected,WithinRowVarSingle,WithinColVarSingle,WithinRowVarDiff,WithinColVarDiff
125,0.004,1/250,2048/256,C00,6,5752500,L1008745.DNG,L1008746.DNG,1023.0903370708388,1022.7482423294219,1.421165829794511,1.4222768227243499,1.305989598294105,2.0074311223888386,1.7932725786549273,0.3420947414167753,51331,2.001886633932189,2.0182874373015047,3.9940032030878267,4.027655292258654
125,0.004,1/250,2048/256,C01,6,5752500,L1008745.DNG,L1008746.DNG,1023.1995113428944,1022.8110152107779,1.41836112819239,1.4183962415167755,1.3058418046789242,2.00155383039547,1.791922083752916,0.3884961321164711,50414,1.993035499259719,2.006911129832069,3.969926167871014,4.004189177592787
125,0.004,1/250,2048/256,C10,6,5752500,L1008745.DNG,L1008746.DNG,1023.241686918731,1022.8530188613646,1.4346505839069095,1.434461509837143,1.31767781766736,2.016434776609693,1.7993887732945002,0.38866805736636245,53002,2.0394742176945955,2.053630102764684,4.029067460013705,4.063902533970741
125,0.004,1/250,2048/256,C11,6,5752500,L1008745.DNG,L1008746.DNG,1023.1318887440243,1022.7904999565407,1.4358285825343473,1.4359329968123358,1.3230761244747054,2.0199445547909884,1.8139924653977633,0.3413887874837027,44701,2.0437962006202195,2.0602667185504613,4.045070270287794,4.0781557477573855
200,0.004,1/250,2048/256,C00,6,5752500,L1008747.DNG,L1008748.DNG,1022.9885009995654,1022.9725103867884,2.0582746833152115,2.057122507263748,1.8853259766923605,2.9050929974965225,2.5880253518490575,0.015990612777053454,46007,4.198207056681332,4.2337067789924046,8.366362728069573,8.435385393463275
200,0.004,1/250,2048/256,C01,6,5752500,L1008747.DNG,L1008748.DNG,1023.1385741851369,1023.1275845284658,2.0543329977124825,2.053905031082272,1.8852688254429233,2.8955111189501808,2.5842461588257484,0.010989656671012604,45451,4.175401395826432,4.208890383177873,8.297692490133244,8.379771272155931
200,0.004,1/250,2048/256,C10,6,5752500,L1008747.DNG,L1008748.DNG,1023.2006734463276,1023.1923836592786,2.0775618423095485,2.0775381923326375,1.9022043267991733,2.9178418378830067,2.5963833052561434,0.008289787049109083,47598,4.272222999756924,4.304945437234645,8.428075143570586,8.509578240452889
200,0.004,1/250,2048/256,C11,6,5752500,L1008747.DNG,L1008748.DNG,1023.0494115601912,1023.0347822685789,2.082033722831161,2.0807960700267354,1.9028994972915694,2.9266780939210375,2.5989817923936926,0.01462929161234246,48113,4.296668889311221,4.332002020080451,8.493633577442377,8.561011805257463
400,0.004,1/250,2048/256,C00,6,5752500,L1008749.DNG,L1008750.DNG,1023.262162190352,1022.8933594089526,1.8054460856437748,1.8040137096277995,1.582938164199655,2.5343860426912848,2.1343054367061094,0.36880278139939154,64868,3.2409245706288354,3.257558482621829,6.389415021972764,6.419882120193013
400,0.004,1/250,2048/256,C01,6,5752500,L1008749.DNG,L1008750.DNG,1023.3746857887875,1022.96731438505,1.7921503939625683,1.7921511978931925,1.5756031417170988,2.5131873496393085,2.1233166651521285,0.4073714037375054,63847,3.1930735703120994,3.205809571668952,6.277033227174641,6.31289296060798
400,0.004,1/250,2048/256,C10,6,5752500,L1008749.DNG,L1008750.DNG,1023.4653288135593,1023.0598101694915,1.8266968646429205,1.8289605712971337,1.6001731852928793,2.5480921614699894,2.1418834683672947,0.4055186440677966,67362,3.318629273108967,3.331119996612398,6.453718757975538,6.489579098853346
400,0.004,1/250,2048/256,C11,6,5752500,L1008749.DNG,L1008750.DNG,1023.3497274228596,1022.981753498479,1.835762002047643,1.833232701757049,1.6063641805423632,2.5595056151378284,2.1515076780664355,0.36797392438070403,67638,3.3511071947789786,3.3679715424508854,6.516955394780457,6.5477380959448945
