#Format: JPTC-SPECTRUM/1
#Tool: jptc-collect 0.1.4
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-20T17:07:05.477Z
#
# Every value below is as measured. No correction of any kind has been
# applied: not Sheppard, not the /sqrt(2) on a difference, nothing that can
# be recomputed from these numbers. The one irreversible step is the sigma
# clip, whose inputs are all recorded here.
#
#Camera: Leica M11 Monochrom
#ImageWidth: 9528
#ImageHeight: 6328
#ImagePixels: 60293184
#Firmware: 2.6.1
#Lens: none-bodycap
#ShutterType: 机械快门
#Compression: 喵
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: GMCY
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 9536x6336
#CropMosaic: 5900x3900
#PlanePerChannel: 2950x1950
#
#ClipSigma: 3.5
#ClipVarianceFactor: 0.9938883771107201
# StdDiff columns are the standard deviation of A-B itself. Not halved, not
# divided by sqrt(2). StdDiffClipped is the same after the sigma clip; the
# unclipped value is kept beside it so the clip can be judged.
#Axis: horizontal
#TransformLength: 2950
#Window: hann
#Normalisation: |Y(k)|^2 / (N * sum(w^2)), averaged over lines
#OneSided: bins 1..N/2-1 are NOT doubled. To integrate a column back to a
#  variance, double every bin except DC and, for even N, Nyquist. Adding a
#  column up as it stands lands exactly a factor of two low, and nothing in
#  a plot of it would look wrong.
#Verification: with a rectangular window that doubled sum equals the
#  within-line variance exactly -- an identity that holds for any data, and
#  the check a normalisation slip cannot hide from. Under the Hann window
#  used here it comes out a few percent short, because the lines are not
#  stationary. The reference itself is the WithinRowVar / WithinColVar
#  columns of the scalar table: NOT StdA^2, which is the whole plane and so
#  also carries the line-to-line spread a periodogram cannot see.
#FreqUnit: cycles per channel-plane pixel (bin k -> k/2950); x2 for sensor pixels
#DiffPowerFactor: 2   (the difference spectrum is NOT halved here)
#LinesAveraged: 1950
#SignificantDigits: 6
#Note: single minus half the difference gives the fixed-pattern spectrum.
bin,freq,iso125_C00_single,iso125_C00_diff,iso125_C01_single,iso125_C01_diff,iso125_C10_single,iso125_C10_diff,iso125_C11_single,iso125_C11_diff,iso200_C00_single,iso200_C00_diff,iso200_C01_single,iso200_C01_diff,iso200_C10_single,iso200_C10_diff,iso200_C11_single,iso200_C11_diff,iso400_C00_single,iso400_C00_diff,iso400_C01_single,iso400_C01_diff,iso400_C10_single,iso400_C10_diff,iso400_C11_single,iso400_C11_diff,iso800_C00_single,iso800_C00_diff,iso800_C01_single,iso800_C01_diff,iso800_C10_single,iso800_C10_diff,iso800_C11_single,iso800_C11_diff,iso1600_C00_single,iso1600_C00_diff,iso1600_C01_single,iso1600_C01_diff,iso1600_C10_single,iso1600_C10_diff,iso1600_C11_single,iso1600_C11_diff,iso3200_C00_single,iso3200_C00_diff,iso3200_C01_single,iso3200_C01_diff,iso3200_C10_single,iso3200_C10_diff,iso3200_C11_single,iso3200_C11_diff,iso6400_C00_single,iso6400_C00_diff,iso6400_C01_single,iso6400_C01_diff,iso6400_C10_single,iso6400_C10_diff,iso6400_C11_single,iso6400_C11_diff,iso12500_C00_single,iso12500_C00_diff,iso12500_C01_single,iso12500_C01_diff,iso12500_C10_single,iso12500_C10_diff,iso12500_C11_single,iso12500_C11_diff,iso25000_C00_single,iso25000_C00_diff,iso25000_C01_single,iso25000_C01_diff,iso25000_C10_single,iso25000_C10_diff,iso25000_C11_single,iso25000_C11_diff
0,0.00000,0.000290145,0.000596498,0.000356397,0.000549360,0.000361510,0.000516933,0.000291503,0.000584729,0.000624902,0.00119335,0.000752278,0.00116120,0.000814341,0.00118910,0.000646696,0.00125322,0.000424790,0.000815571,0.000479928,0.000788754,0.000476691,0.000785956,0.000470522,0.000912009,0.00145190,0.00281748,0.00139793,0.00268707,0.00147598,0.00265390,0.00157514,0.00299280,0.00551178,0.0101540,0.0121816,0.00967955,0.00536458,0.00954370,0.00572253,0.00982407,0.0202883,0.0346805,0.0189741,0.0319560,0.0205429,0.0315000,0.0246632,0.0348928,0.0556011,0.0956229,0.0504493,0.0948591,0.0579602,0.0943898,0.0612891,0.106165,0.184543,0.323124,0.167327,0.295922,0.176948,0.304522,0.184336,0.332379,0.654540,1.25029,0.654329,1.05747,0.647796,1.07709,0.725328,1.34273
1,0.000338983,0.000764456,0.00151225,0.000874220,0.00149757,0.000872451,0.00143796,0.000751701,0.00146113,0.00156486,0.00306217,0.00186928,0.00323109,0.00199075,0.00326698,0.00164861,0.00325072,0.00110082,0.00213614,0.00118048,0.00212441,0.00122406,0.00214891,0.00111670,0.00222807,0.00351247,0.00765044,0.00418029,0.00724896,0.00433820,0.00748203,0.00397834,0.00794999,0.0127653,0.0245886,0.0175633,0.0245615,0.0137782,0.0247620,0.0160314,0.0253146,0.0448531,0.0837836,0.0460185,0.0801149,0.0492256,0.0824972,0.0487432,0.0855414,0.139743,0.255739,0.133001,0.246848,0.147959,0.247671,0.139952,0.257545,0.429843,0.785270,0.393056,0.732486,0.404248,0.783108,0.460309,0.868350,1.68544,3.18400,1.51865,2.71358,1.55152,2.82748,1.84705,3.32994
2,0.000677966,0.000743999,0.00149432,0.000728514,0.00143130,0.000766843,0.00145583,0.000716840,0.00142681,0.00155359,0.00291730,0.00153748,0.00302281,0.00163173,0.00314832,0.00157942,0.00302320,0.00117151,0.00227117,0.00113698,0.00219693,0.00119874,0.00222559,0.00119217,0.00224502,0.00376225,0.00784143,0.00379958,0.00747182,0.00404491,0.00785132,0.00413783,0.00774476,0.0133806,0.0259658,0.0136893,0.0257891,0.0145107,0.0267870,0.0143079,0.0277522,0.0458782,0.0913554,0.0481045,0.0896835,0.0473815,0.0896756,0.0487132,0.0933279,0.144249,0.280011,0.140936,0.270742,0.144379,0.271246,0.145586,0.280408,0.455142,0.878222,0.417675,0.801353,0.420367,0.861009,0.483570,0.946854,1.74193,3.37843,1.57888,2.88855,1.62283,3.12376,1.83484,3.37273
3,0.00101695,0.000701876,0.00143333,0.000721308,0.00142462,0.000695959,0.00139910,0.000701527,0.00134612,0.00150503,0.00283816,0.00148698,0.00282725,0.00152319,0.00296392,0.00151702,0.00295449,0.00114117,0.00227239,0.00114177,0.00214661,0.00120136,0.00220868,0.00115105,0.00214010,0.00374793,0.00737356,0.00370225,0.00740659,0.00404251,0.00772511,0.00405420,0.00762583,0.0134386,0.0268041,0.0133157,0.0244270,0.0139042,0.0256684,0.0141796,0.0277178,0.0461907,0.0899406,0.0450073,0.0904711,0.0473207,0.0898364,0.0483759,0.0925151,0.137646,0.269709,0.134154,0.260956,0.132669,0.263149,0.149382,0.273986,0.436242,0.871566,0.415886,0.832604,0.409050,0.820384,0.451378,0.899946,1.69998,3.33703,1.52295,2.94392,1.61328,3.01080,1.79465,3.36367
4,0.00135593,0.000697569,0.00142822,0.000688672,0.00141021,0.000659672,0.00134071,0.000667085,0.00129278,0.00141704,0.00283020,0.00142317,0.00282693,0.00149670,0.00303490,0.00146228,0.00295216,0.00113138,0.00217261,0.00113300,0.00215936,0.00109661,0.00216878,0.00113477,0.00222371,0.00378728,0.00734632,0.00375327,0.00730231,0.00386699,0.00739535,0.00401515,0.00754167,0.0133129,0.0264914,0.0130222,0.0251506,0.0141387,0.0260222,0.0143375,0.0278620,0.0461304,0.0871242,0.0452730,0.0895320,0.0461336,0.0892074,0.0475741,0.0913728,0.141051,0.273966,0.135681,0.261977,0.132300,0.262419,0.152235,0.285112,0.436946,0.863698,0.401808,0.796065,0.420826,0.810779,0.453056,0.878119,1.70363,3.30336,1.51835,2.94994,1.55753,2.87102,1.70268,3.36986
5,0.00169492,0.000681000,0.00135425,0.000644973,0.00135002,0.000670334,0.00131168,0.000684831,0.00134324,0.00139268,0.00283193,0.00139202,0.00282353,0.00147521,0.00296101,0.00145125,0.00288065,0.00113593,0.00216441,0.00109057,0.00210927,0.00110801,0.00216430,0.00111171,0.00226627,0.00380944,0.00730267,0.00380908,0.00744170,0.00375305,0.00725889,0.00392959,0.00756244,0.0127829,0.0251919,0.0133437,0.0260746,0.0137879,0.0265874,0.0139413,0.0274587,0.0454747,0.0850692,0.0439419,0.0878419,0.0458069,0.0908770,0.0474622,0.0909765,0.138576,0.271572,0.131529,0.260396,0.136211,0.269546,0.149415,0.277976,0.435097,0.845244,0.390791,0.755481,0.423777,0.830128,0.462466,0.888868,1.66414,3.24047,1.53931,2.94553,1.54205,3.00738,1.74061,3.39824
6,0.00203390,0.000689270,0.00133454,0.000654703,0.00136079,0.000690982,0.00137670,0.000694341,0.00139464,0.00138904,0.00278650,0.00141133,0.00279753,0.00147699,0.00294292,0.00146099,0.00282837,0.00110602,0.00212320,0.00110427,0.00213568,0.00113639,0.00214377,0.00114511,0.00220164,0.00393087,0.00736246,0.00373085,0.00752790,0.00383362,0.00727777,0.00391971,0.00754042,0.0129670,0.0258180,0.0130622,0.0256698,0.0132239,0.0262711,0.0135213,0.0263537,0.0453450,0.0855840,0.0438250,0.0861455,0.0453276,0.0887609,0.0471431,0.0910219,0.133465,0.267473,0.127002,0.253233,0.136509,0.262784,0.142745,0.271927,0.424661,0.838582,0.386752,0.751884,0.411801,0.811764,0.447845,0.876192,1.63230,3.14021,1.52708,2.95667,1.50950,2.92341,1.73162,3.44988
7,0.00237288,0.000713300,0.00134052,0.000667491,0.00135213,0.000708627,0.00138712,0.000687047,0.00139350,0.00138007,0.00285947,0.00143856,0.00280779,0.00146113,0.00291753,0.00147537,0.00293130,0.00106450,0.00209878,0.00108380,0.00211874,0.00111363,0.00212372,0.00115357,0.00214188,0.00385634,0.00743509,0.00369448,0.00742405,0.00384087,0.00755794,0.00399538,0.00772505,0.0131128,0.0262510,0.0133686,0.0258852,0.0137174,0.0269456,0.0136298,0.0268714,0.0444713,0.0869394,0.0443229,0.0875188,0.0446623,0.0912789,0.0475224,0.0904768,0.139604,0.275307,0.128706,0.255976,0.134649,0.265721,0.142759,0.266049,0.434332,0.837276,0.389242,0.779623,0.397887,0.784224,0.451059,0.863590,1.67481,3.17475,1.50952,2.87925,1.50778,2.90322,1.74551,3.47313
8,0.00271186,0.000683491,0.00137083,0.000676893,0.00132075,0.000716779,0.00135669,0.000708794,0.00141173,0.00137272,0.00272091,0.00141314,0.00281849,0.00141343,0.00284138,0.00144452,0.00288318,0.00104743,0.00216772,0.00105076,0.00216045,0.00112253,0.00212626,0.00108660,0.00218794,0.00374946,0.00756800,0.00370981,0.00748150,0.00386929,0.00766381,0.00399247,0.00772931,0.0135004,0.0264658,0.0132492,0.0251515,0.0133072,0.0259560,0.0136323,0.0268254,0.0449291,0.0909364,0.0440588,0.0842020,0.0466065,0.0888265,0.0488392,0.0938251,0.143528,0.275105,0.130366,0.260550,0.135247,0.275139,0.136721,0.268790,0.432725,0.845344,0.405577,0.784891,0.393021,0.791943,0.439708,0.868146,1.62529,3.19884,1.47503,2.86475,1.54958,2.87820,1.75767,3.39292
9,0.00305085,0.000675687,0.00136216,0.000655389,0.00131882,0.000699732,0.00135468,0.000710838,0.00142430,0.00141608,0.00277466,0.00141895,0.00295694,0.00142055,0.00286747,0.00145721,0.00292908,0.00111673,0.00220880,0.00107010,0.00217728,0.00114928,0.00221885,0.00109797,0.00218222,0.00373657,0.00744980,0.00367390,0.00753266,0.00368106,0.00743179,0.00391888,0.00754166,0.0136104,0.0267220,0.0132118,0.0253927,0.0135758,0.0258041,0.0136430,0.0272737,0.0457922,0.0897671,0.0470436,0.0856373,0.0479406,0.0861901,0.0483739,0.0908899,0.144669,0.273555,0.129695,0.248071,0.136055,0.264678,0.136282,0.270948,0.427021,0.857619,0.403711,0.757616,0.402976,0.795110,0.455220,0.906335,1.60714,3.29485,1.51558,2.87969,1.62015,3.04889,1.74591,3.28183
