#Format: JPTC-SPECTRUM/1
#Tool: jptc-collect 0.1.4
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-20T17:07:05.477Z
#
# Every value below is as measured. No correction of any kind has been
# applied: not Sheppard, not the /sqrt(2) on a difference, nothing that can
# be recomputed from these numbers. The one irreversible step is the sigma
# clip, whose inputs are all recorded here.
#
#Camera: Leica M11 Monochrom
#ImageWidth: 9528
#ImageHeight: 6328
#ImagePixels: 60293184
#Firmware: 2.6.1
#Lens: none-bodycap
#ShutterType: 机械快门
#Compression: 喵
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: GMCY
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 9536x6336
#CropMosaic: 5900x3900
#PlanePerChannel: 2950x1950
#
#ClipSigma: 3.5
#ClipVarianceFactor: 0.9938883771107201
# StdDiff columns are the standard deviation of A-B itself. Not halved, not
# divided by sqrt(2). StdDiffClipped is the same after the sigma clip; the
# unclipped value is kept beside it so the clip can be judged.
#Axis: vertical
#TransformLength: 1950
#Window: hann
#Normalisation: |Y(k)|^2 / (N * sum(w^2)), averaged over lines
#OneSided: bins 1..N/2-1 are NOT doubled. To integrate a column back to a
#  variance, double every bin except DC and, for even N, Nyquist. Adding a
#  column up as it stands lands exactly a factor of two low, and nothing in
#  a plot of it would look wrong.
#Verification: with a rectangular window that doubled sum equals the
#  within-line variance exactly -- an identity that holds for any data, and
#  the check a normalisation slip cannot hide from. Under the Hann window
#  used here it comes out a few percent short, because the lines are not
#  stationary. The reference itself is the WithinRowVar / WithinColVar
#  columns of the scalar table: NOT StdA^2, which is the whole plane and so
#  also carries the line-to-line spread a periodogram cannot see.
#FreqUnit: cycles per channel-plane pixel (bin k -> k/1950); x2 for sensor pixels
#DiffPowerFactor: 2   (the difference spectrum is NOT halved here)
#LinesAveraged: 2950
#SignificantDigits: 6
#Note: single minus half the difference gives the fixed-pattern spectrum.
bin,freq,iso125_C00_single,iso125_C00_diff,iso125_C01_single,iso125_C01_diff,iso125_C10_single,iso125_C10_diff,iso125_C11_single,iso125_C11_diff,iso200_C00_single,iso200_C00_diff,iso200_C01_single,iso200_C01_diff,iso200_C10_single,iso200_C10_diff,iso200_C11_single,iso200_C11_diff,iso400_C00_single,iso400_C00_diff,iso400_C01_single,iso400_C01_diff,iso400_C10_single,iso400_C10_diff,iso400_C11_single,iso400_C11_diff,iso800_C00_single,iso800_C00_diff,iso800_C01_single,iso800_C01_diff,iso800_C10_single,iso800_C10_diff,iso800_C11_single,iso800_C11_diff,iso1600_C00_single,iso1600_C00_diff,iso1600_C01_single,iso1600_C01_diff,iso1600_C10_single,iso1600_C10_diff,iso1600_C11_single,iso1600_C11_diff,iso3200_C00_single,iso3200_C00_diff,iso3200_C01_single,iso3200_C01_diff,iso3200_C10_single,iso3200_C10_diff,iso3200_C11_single,iso3200_C11_diff,iso6400_C00_single,iso6400_C00_diff,iso6400_C01_single,iso6400_C01_diff,iso6400_C10_single,iso6400_C10_diff,iso6400_C11_single,iso6400_C11_diff,iso12500_C00_single,iso12500_C00_diff,iso12500_C01_single,iso12500_C01_diff,iso12500_C10_single,iso12500_C10_diff,iso12500_C11_single,iso12500_C11_diff,iso25000_C00_single,iso25000_C00_diff,iso25000_C01_single,iso25000_C01_diff,iso25000_C10_single,iso25000_C10_diff,iso25000_C11_single,iso25000_C11_diff
0,0.00000,0.000354045,0.000706156,0.000357567,0.000700238,0.000363574,0.000697674,0.000343654,0.000683508,0.000721011,0.00139011,0.000741686,0.00142526,0.000779930,0.00149223,0.000768394,0.00154886,0.000601027,0.00108894,0.000573078,0.00113951,0.000607881,0.00115964,0.000616395,0.00111198,0.00190456,0.00366002,0.00207369,0.00379978,0.00212845,0.00384584,0.00217071,0.00398556,0.00712698,0.0130861,0.00701584,0.0125492,0.00723507,0.0131697,0.00698670,0.0130259,0.0241698,0.0462538,0.0231952,0.0447441,0.0249838,0.0459983,0.0249744,0.0490711,0.0761513,0.138582,0.0699497,0.125583,0.0749720,0.131713,0.0789146,0.139562,0.245900,0.421439,0.228272,0.382602,0.229734,0.371748,0.237996,0.419781,0.861157,1.59192,0.800958,1.46954,0.855868,1.46148,0.943113,1.68994
1,0.000512821,0.000999847,0.00176637,0.00105727,0.00178497,0.00101705,0.00175113,0.000998331,0.00176855,0.00213525,0.00352603,0.00194941,0.00356886,0.00193764,0.00357094,0.00222577,0.00380133,0.00149666,0.00279859,0.00142971,0.00275630,0.00151212,0.00280704,0.00154546,0.00286964,0.00486608,0.00921913,0.00510725,0.00949507,0.00519983,0.00971040,0.00524093,0.00958865,0.0177128,0.0326876,0.0167264,0.0320038,0.0179654,0.0332125,0.0174823,0.0327837,0.0602779,0.115026,0.0581084,0.108706,0.0601168,0.110254,0.0633810,0.117301,0.188498,0.329727,0.175818,0.319082,0.186478,0.327223,0.197496,0.351322,0.605088,1.04780,0.587543,0.947069,0.593849,0.999872,0.610715,1.09795,2.30352,3.97095,2.03340,3.63861,2.11785,3.72560,2.38154,4.09025
2,0.00102564,0.00105877,0.00209390,0.00107115,0.00207311,0.00106635,0.00209613,0.00109280,0.00212402,0.00220132,0.00427010,0.00209337,0.00426074,0.00217191,0.00429754,0.00225254,0.00446245,0.00172079,0.00333590,0.00165466,0.00333135,0.00173020,0.00333373,0.00173512,0.00339698,0.00564489,0.0110350,0.00564216,0.0109241,0.00594080,0.0118177,0.00610391,0.0113734,0.0202219,0.0402860,0.0194657,0.0382422,0.0202119,0.0399396,0.0206995,0.0407577,0.0694686,0.136685,0.0654268,0.130255,0.0683305,0.132748,0.0709319,0.138180,0.211109,0.396426,0.197983,0.384319,0.214382,0.410104,0.218282,0.429039,0.667635,1.26796,0.631598,1.13927,0.646868,1.21040,0.687799,1.34390,2.54921,4.74633,2.23633,4.39491,2.38776,4.48277,2.64836,4.91972
3,0.00153846,0.00105626,0.00209451,0.00106256,0.00206428,0.00105305,0.00206515,0.00108408,0.00217774,0.00215505,0.00426746,0.00213733,0.00428868,0.00223130,0.00445236,0.00215725,0.00433083,0.00168605,0.00322452,0.00168418,0.00328550,0.00165408,0.00321797,0.00170067,0.00332011,0.00567824,0.0113776,0.00543610,0.0108159,0.00579171,0.0113085,0.00608256,0.0117443,0.0201436,0.0403882,0.0197603,0.0382846,0.0198532,0.0394068,0.0209638,0.0417728,0.0700971,0.136597,0.0680791,0.130292,0.0697539,0.133083,0.0717495,0.140711,0.207728,0.398165,0.200596,0.394235,0.216169,0.417782,0.213482,0.413117,0.666547,1.31351,0.602440,1.15839,0.632683,1.21565,0.701832,1.35971,2.55454,4.95514,2.27697,4.40981,2.38083,4.59159,2.64683,4.98097
4,0.00205128,0.00106108,0.00203675,0.00105837,0.00206769,0.00102434,0.00204899,0.00111057,0.00215189,0.00206852,0.00416505,0.00213087,0.00422535,0.00217823,0.00428857,0.00225230,0.00445532,0.00164825,0.00320622,0.00168000,0.00319314,0.00168884,0.00329118,0.00171557,0.00331922,0.00547765,0.0112232,0.00570141,0.0111527,0.00571830,0.0112578,0.00589965,0.0115807,0.0203963,0.0391348,0.0199142,0.0383429,0.0199552,0.0392700,0.0208014,0.0406290,0.0695181,0.134087,0.0687458,0.130786,0.0693952,0.137128,0.0718396,0.137818,0.205064,0.400082,0.201404,0.388333,0.205323,0.406235,0.212362,0.407661,0.673706,1.31005,0.594126,1.14282,0.630087,1.19685,0.684877,1.32913,2.54564,4.91682,2.22725,4.29473,2.31967,4.49830,2.58135,4.90429
5,0.00256410,0.00105787,0.00206477,0.00100810,0.00203651,0.00102829,0.00203933,0.00107079,0.00211240,0.00213395,0.00421053,0.00219925,0.00419198,0.00220010,0.00426350,0.00221833,0.00443178,0.00165704,0.00325444,0.00163281,0.00308776,0.00171018,0.00337955,0.00172375,0.00334962,0.00541889,0.0108774,0.00579227,0.0109762,0.00570500,0.0114635,0.00601803,0.0113917,0.0200084,0.0384520,0.0193189,0.0392970,0.0203185,0.0389198,0.0210854,0.0407488,0.0699451,0.134101,0.0679141,0.133252,0.0685944,0.136895,0.0727293,0.141060,0.203185,0.399909,0.202737,0.392637,0.201365,0.399645,0.215833,0.427486,0.645988,1.27842,0.608059,1.16857,0.636545,1.20455,0.684478,1.31454,2.54855,4.87755,2.23896,4.31892,2.30736,4.49350,2.60023,5.05506
6,0.00307692,0.00105075,0.00208782,0.00101584,0.00206418,0.00103351,0.00204466,0.00107249,0.00213331,0.00221038,0.00440331,0.00225397,0.00436198,0.00224379,0.00438398,0.00225082,0.00440396,0.00164095,0.00322294,0.00168041,0.00328487,0.00172019,0.00332369,0.00179889,0.00343023,0.00545611,0.0108337,0.00569600,0.0108787,0.00579899,0.0115027,0.00603325,0.0116274,0.0193515,0.0382675,0.0195427,0.0395717,0.0205560,0.0391742,0.0212573,0.0419440,0.0701124,0.132258,0.0664115,0.132285,0.0722752,0.136787,0.0710481,0.140022,0.208361,0.410548,0.202080,0.402236,0.202940,0.397236,0.214439,0.429689,0.660473,1.30087,0.612100,1.17022,0.632887,1.21320,0.700552,1.32876,2.53601,4.75774,2.31472,4.31425,2.28896,4.52830,2.51467,4.98808
7,0.00358974,0.00104771,0.00207948,0.00100786,0.00202691,0.00106442,0.00206697,0.00108123,0.00215460,0.00219701,0.00435627,0.00220019,0.00439836,0.00217836,0.00436029,0.00223431,0.00434511,0.00166890,0.00331191,0.00166828,0.00333245,0.00168889,0.00327501,0.00180083,0.00340599,0.00565872,0.0109994,0.00558053,0.0111140,0.00576604,0.0113600,0.00599764,0.0115806,0.0195637,0.0399294,0.0196339,0.0386333,0.0211803,0.0405851,0.0214858,0.0418815,0.0686810,0.131874,0.0687920,0.133950,0.0709190,0.133580,0.0723731,0.136152,0.208853,0.408872,0.202221,0.390788,0.208933,0.403665,0.218010,0.432671,0.659744,1.30755,0.620484,1.19915,0.620632,1.18473,0.708277,1.35977,2.51184,4.68824,2.28754,4.33868,2.32433,4.42038,2.60439,4.93453
8,0.00410256,0.00105212,0.00207251,0.00103086,0.00201968,0.00104146,0.00207704,0.00106375,0.00209808,0.00217914,0.00440565,0.00218919,0.00435416,0.00219365,0.00435781,0.00220524,0.00438130,0.00172204,0.00343011,0.00163447,0.00319593,0.00169342,0.00334395,0.00180045,0.00349938,0.00581686,0.0112536,0.00548097,0.0108907,0.00582666,0.0110672,0.00602484,0.0116322,0.0201190,0.0400316,0.0193980,0.0380125,0.0210805,0.0394283,0.0209287,0.0402567,0.0686500,0.133604,0.0669843,0.130660,0.0683778,0.131013,0.0734440,0.136287,0.208537,0.404721,0.202940,0.388417,0.212510,0.404425,0.223848,0.430067,0.680389,1.31133,0.616174,1.18736,0.616907,1.20602,0.701771,1.35702,2.49188,4.82588,2.29046,4.44022,2.36079,4.35291,2.68781,5.03010
9,0.00461538,0.00103376,0.00208547,0.00106498,0.00204842,0.00103432,0.00210641,0.00107952,0.00210420,0.00218997,0.00433762,0.00214213,0.00425309,0.00221210,0.00439500,0.00220039,0.00433743,0.00170350,0.00337193,0.00162009,0.00324437,0.00168248,0.00329599,0.00182551,0.00345222,0.00575898,0.0113591,0.00553152,0.0108685,0.00577596,0.0109533,0.00587813,0.0118567,0.0200894,0.0398237,0.0194090,0.0387430,0.0216443,0.0403718,0.0211334,0.0399931,0.0687327,0.132900,0.0660650,0.129059,0.0689106,0.132199,0.0716831,0.134767,0.202222,0.405492,0.194728,0.381321,0.201987,0.397464,0.218194,0.423220,0.663581,1.27614,0.606757,1.17825,0.616326,1.20750,0.688332,1.35389,2.51378,4.92806,2.32650,4.49251,2.42180,4.59694,2.71392,5.23273
