#Format: JPTC-ISOGAIN/1
#Tool: jptc-collect 0.1.0
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-18T05:14:10.888Z
#
# Every value below is as measured. No correction of any kind has been
# applied, and no black level has been subtracted. The black level belongs
# to the dark set, which is why that one is shot first.
#
#Camera: Canon EOS R5 Mark II
#ImageWidth: 8192
#ImageHeight: 5464
#ImagePixels: 44761088
#Firmware: 1.3.1
#Lens: RF35VCM
#ShutterType: 机械快门
#Compression: 佳能raw
#LongExposureNR: off (declared)
#Stabilisation: off (declared)
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 8480x5650
#SensorBlackTag: 512
#SensorMaximum: 16383
#Ladder: auto-shutter
#CropMosaic: 5900x3900
#PlanePerChannel: 2950x1950
# ShutterSec is the NOMINAL time from the file. A mechanical shutter
# departs from it systematically and unreadably, which is what the
# paired-shutter ladder exists to sidestep.
# ShutterSec is what LibRaw resolved the shutter to, and which EXIF field it
# took depends on the camera: ExposureTime normally, ShutterSpeedValue when
# that is missing, and for some vendors a maker-note field instead. It is also
# a float, so a stored 10/2500 comes back as 0.004000000189989805 -- that tail
# is float32 rounding, not information from the camera.
# ExposureTimeExif (0x829A) and ShutterApexExif (0x9201, APEX, t = 2^-v) are
# therefore recorded verbatim as the fractions the file holds, empty when the
# camera wrote no such field. Which of them to trust is an analysis decision.
#
# g1/g2 = (t1/t2) * (Mean2 - BL2) / (Mean1 - BL1), with BL from the dark set.
ISO,ShutterSec,ExposureTimeExif,ShutterApexExif,Aperture,ShutterGroup,File,Channel,ColorIndex,N,Mean,Std,ClipFrac
50,0.800000011920929,,,1.399999976158142,0.800000,166A1568.CR3,C00,0,5752500,1869.462272750978,839.5148332976897,0
50,0.800000011920929,,,1.399999976158142,0.800000,166A1568.CR3,C01,1,5752500,2423.3944140808344,1264.253783507128,0
50,0.800000011920929,,,1.399999976158142,0.800000,166A1568.CR3,C10,3,5752500,2423.1277503694046,1263.9359027637613,0
50,0.800000011920929,,,1.399999976158142,0.800000,166A1568.CR3,C11,2,5752500,1361.066439113429,581.9238560385946,0
100,0.4000000059604645,,,1.399999976158142,0.400000,166A1569.CR3,C00,0,5752500,1181.8049882659714,413.38875532225785,0
100,0.4000000059604645,,,1.399999976158142,0.400000,166A1569.CR3,C01,1,5752500,1455.4405827031726,623.519707704616,0
100,0.4000000059604645,,,1.399999976158142,0.400000,166A1569.CR3,C10,3,5752500,1455.34696027814,623.3726383244457,0
100,0.4000000059604645,,,1.399999976158142,0.400000,166A1569.CR3,C11,2,5752500,932.0938452846589,287.48661918287416,0
125,0.30000001192092896,,,1.399999976158142,0.300000,166A1570.CR3,C00,0,5752500,1182.8103513255107,413.87779785384055,0
125,0.30000001192092896,,,1.399999976158142,0.300000,166A1570.CR3,C01,1,5752500,1456.7341936549326,624.022180799475,0
125,0.30000001192092896,,,1.399999976158142,0.300000,166A1570.CR3,C10,3,5752500,1456.6934049543677,623.8751139353645,0
125,0.30000001192092896,,,1.399999976158142,0.300000,166A1570.CR3,C11,2,5752500,933.2331327249022,288.2280198930877,0
160,0.25,,,1.399999976158142,0.250000,166A1571.CR3,C00,0,5752500,1180.107715601912,412.111591632688,0
160,0.25,,,1.399999976158142,0.250000,166A1571.CR3,C01,1,5752500,1452.4461135158626,620.7226410154334,0
160,0.25,,,1.399999976158142,0.250000,166A1571.CR3,C10,3,5752500,1452.3696540634508,620.5944605256487,0
160,0.25,,,1.399999976158142,0.250000,166A1571.CR3,C11,2,5752500,931.6273835723598,287.0255578270725,0
200,0.20000000298023224,,,1.399999976158142,0.200000,166A1572.CR3,C00,0,5752500,1186.157516036506,416.03167526145216,0
200,0.20000000298023224,,,1.399999976158142,0.200000,166A1572.CR3,C01,1,5752500,1460.6597820078227,627.0003224012171,0
200,0.20000000298023224,,,1.399999976158142,0.200000,166A1572.CR3,C10,3,5752500,1460.7617860060843,626.8780088535713,0
200,0.20000000298023224,,,1.399999976158142,0.200000,166A1572.CR3,C11,2,5752500,933.7366638852673,288.50233922600387,0
250,0.1666666716337204,,,1.399999976158142,0.166667,166A1573.CR3,C00,0,5752500,1180.4104010430249,412.42320486826173,0
250,0.1666666716337204,,,1.399999976158142,0.166667,166A1573.CR3,C01,1,5752500,1451.5232281616688,620.6851173642408,0
250,0.1666666716337204,,,1.399999976158142,0.166667,166A1573.CR3,C10,3,5752500,1451.6865889613211,620.5741837536898,0
250,0.1666666716337204,,,1.399999976158142,0.166667,166A1573.CR3,C11,2,5752500,930.5483028248588,286.3453534074324,0
320,0.125,,,1.399999976158142,0.125000,166A1574.CR3,C00,0,5752500,1181.9793974793567,413.31662937991035,0
320,0.125,,,1.399999976158142,0.125000,166A1574.CR3,C01,1,5752500,1452.9817988700565,621.3106157133626,0
320,0.125,,,1.399999976158142,0.125000,166A1574.CR3,C10,3,5752500,1453.1746365927856,621.2179133093704,0
320,0.125,,,1.399999976158142,0.125000,166A1574.CR3,C11,2,5752500,932.046740547588,287.46113647972834,0
400,0.10000000149011612,,,1.399999976158142,0.100000,166A1575.CR3,C00,0,5752500,2721.150803129074,415.955943869607,0
400,0.10000000149011612,,,1.399999976158142,0.100000,166A1575.CR3,C01,1,5752500,2993.5366425032594,625.8648130649541,0
400,0.10000000149011612,,,1.399999976158142,0.100000,166A1575.CR3,C10,3,5752500,2993.3395475010866,625.4166328953852,0
400,0.10000000149011612,,,1.399999976158142,0.100000,166A1575.CR3,C11,2,5752500,2471.263080747501,290.43081775384746,0
500,0.07692307978868484,,,1.399999976158142,0.0769231,166A1576.CR3,C00,0,5752500,2713.226187744459,411.2109450971848,0
500,0.07692307978868484,,,1.399999976158142,0.0769231,166A1576.CR3,C01,1,5752500,2984.9305043024774,619.4251937474384,0
500,0.07692307978868484,,,1.399999976158142,0.0769231,166A1576.CR3,C10,3,5752500,2984.9236964797915,619.1491819912885,0
500,0.07692307978868484,,,1.399999976158142,0.0769231,166A1576.CR3,C11,2,5752500,2465.6837681008255,286.76713604988277,0
640,0.06666667014360428,,,1.399999976158142,0.0666667,166A1577.CR3,C00,0,5752500,2716.59509726206,413.5460450976174,0
640,0.06666667014360428,,,1.399999976158142,0.0666667,166A1577.CR3,C01,1,5752500,2988.0904046936116,621.6068923438776,0
640,0.06666667014360428,,,1.399999976158142,0.0666667,166A1577.CR3,C10,3,5752500,2988.2552660582355,621.4099270667768,0
640,0.06666667014360428,,,1.399999976158142,0.0666667,166A1577.CR3,C11,2,5752500,2466.9230777922644,287.82369739340186,0
800,0.05000000074505806,,,1.399999976158142,0.0500000,166A1578.CR3,C00,0,5752500,2718.166830595393,415.15997313725114,0
800,0.05000000074505806,,,1.399999976158142,0.0500000,166A1578.CR3,C01,1,5752500,2991.0275829639286,624.7819941441335,0
800,0.05000000074505806,,,1.399999976158142,0.0500000,166A1578.CR3,C10,3,5752500,2990.7965218600607,624.2809304963448,0
800,0.05000000074505806,,,1.399999976158142,0.0500000,166A1578.CR3,C11,2,5752500,2468.147769665363,289.01185342607613,0
1000,0.03999999910593033,,,1.399999976158142,0.0400000,166A1579.CR3,C00,0,5752500,2721.09623972186,417.0740484257366,0
