#Format: JPTC-DARK/1
#Tool: jptc-collect 0.1.0
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-12T14:24:12.707Z
#
# Every value below is as measured. No correction of any kind has been
# applied: not Sheppard, not the /sqrt(2) on a difference, nothing that can
# be recomputed from these numbers. The one irreversible step is the sigma
# clip, whose inputs are all recorded here.
#
#Camera: Panasonic DC-S1RM2
#ImageWidth: 8144
#ImageHeight: 5424
#ImagePixels: 44173056
#Firmware: 
#Lens: 1840
#ShutterType: 机械快门
#Compression: 无损压缩
#LongExposureNR: off (declared)
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 8152x5432
#CropMosaic: 8000x5000
#PlanePerChannel: 4000x2500
#
#ClipSigma: 3.5
#ClipVarianceFactor: 0.9938883771107201
# StdDiff columns are the standard deviation of A-B itself. Not halved, not
# divided by sqrt(2). StdDiffClipped is the same after the sigma clip; the
# unclipped value is kept beside it so the clip can be judged.
#
# ShutterSec is what LibRaw resolved the shutter to, and which EXIF field it
# took depends on the camera: ExposureTime normally, ShutterSpeedValue when
# that is missing, and for some vendors a maker-note field instead. It is also
# a float, so a stored 10/2500 comes back as 0.004000000189989805 -- that tail
# is float32 rounding, not information from the camera.
# ExposureTimeExif (0x829A) and ShutterApexExif (0x9201, APEX, t = 2^-v) are
# therefore recorded verbatim as the fractions the file holds, empty when the
# camera wrote no such field. Which of them to trust is an analysis decision.
ISO,ShutterSec,ExposureTimeExif,ShutterApexExif,Channel,ColorIndex,N,FileA,FileB,BlackA,BlackB,StdA,StdB,StdAMasked,StdDiff,StdDiffClipped,DiffMean,Rejected,WithinRowVarSingle,WithinColVarSingle,WithinRowVarDiff,WithinColVarDiff
100,0.004999999888241291,10/2000,,C00,0,10000000,P1019504.RW2,P1019505.RW2,511.4235327,511.4318155,3.3204069712695463,3.3219310917081186,3.2464872693717184,4.658902120233293,4.499340892712297,-0.0082828,37075,10.951166464525013,10.954073508760006,21.582982759300023,21.696901837840002
100,0.004999999888241291,10/2000,,C01,1,10000000,P1019504.RW2,P1019505.RW2,511.80664,511.7662952,3.180639766124095,3.1829997297442274,3.124048720883819,4.476001910271529,4.357806478284509,0.0403448,25662,10.05074535935001,10.10030088152002,19.89244629279999,20.02678680783998
100,0.004999999888241291,10/2000,,C10,3,10000000,P1019504.RW2,P1019505.RW2,511.951625,511.9129318,3.181897369806402,3.1813832434043188,3.1246334274553886,4.47799471208773,4.357891962813041,0.0386932,26005,10.055445313049999,10.108170775359973,19.911530516400063,20.044432539760038
100,0.004999999888241291,10/2000,,C11,2,10000000,P1019504.RW2,P1019505.RW2,511.5030218,511.6381259,2.863247646995846,2.8661755105723223,2.8034191248521982,4.016321102106852,3.8897368820028064,-0.1351041,33275,8.121839571500015,8.147458452559992,16.02034696547503,16.12368534212
125,0.004999999888241291,10/2000,,C00,0,10000000,P1019506.RW2,P1019507.RW2,511.4865543,511.3657166,3.9777878519544143,3.9865459432906416,3.8885484919041318,5.58552565746474,5.396007109712232,0.1208377,33712,15.738549432724987,15.722428207000064,31.005238551574976,31.185344694360072
125,0.004999999888241291,10/2000,,C01,1,10000000,P1019506.RW2,P1019507.RW2,511.8491238,511.8598059,3.8097430653211957,3.813182787129189,3.734079035935092,5.361533369034352,5.2054934047856145,-0.0106821,27145,14.427924584600015,14.496028677119954,28.588868421474942,28.73500381284008
125,0.004999999888241291,10/2000,,C10,3,10000000,P1019506.RW2,P1019507.RW2,511.8165774,511.8289979,3.8099888453152935,3.8129609013853227,3.7347928584983277,5.362402251473641,5.206295248669247,-0.0124205,26916,14.430481138250007,14.496922351039967,28.597849630625,28.743935787240037
125,0.004999999888241291,10/2000,,C11,2,10000000,P1019506.RW2,P1019507.RW2,511.5805508,511.7247931,3.4182419950976772,3.424615049192893,3.346302300789977,4.812787256331879,4.664626612553241,-0.1442423,29991,11.620085214399968,11.65863208960002,22.99294094502506,23.152811595319992
160,0.004999999888241291,10/2000,,C00,0,10000000,P1019508.RW2,P1019509.RW2,511.4856659,511.5845677,4.769695420921635,4.7694943106396614,4.650512048189679,6.696786014105331,6.450030467967804,-0.0989018,36938,22.632313252725005,22.67249133835995,44.62563812300001,44.82863485015995
160,0.004999999888241291,10/2000,,C01,1,10000000,P1019508.RW2,P1019509.RW2,511.8463843,511.930297,4.576984117413242,4.5756396476489885,4.470210156046987,6.434357861897391,6.216669727383223,-0.0839127,33650,20.842455985625026,20.924256631959988,41.203140452624936,41.38503641060006
160,0.004999999888241291,10/2000,,C10,3,10000000,P1019508.RW2,P1019509.RW2,511.8020994,511.8888434,4.572932149518146,4.577489388945846,4.46881680703414,6.430103826008665,6.216019812689084,-0.086744,33220,20.80846710750004,20.88671029335999,41.14999770875004,41.330519267440074
