#Format: JPTC-ISOGAIN/1
#Tool: jptc-collect 0.1.0
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-12T14:33:33.700Z
#
# Every value below is as measured. No correction of any kind has been
# applied, and no black level has been subtracted. The black level belongs
# to the dark set, which is why that one is shot first.
#
#Camera: Panasonic DC-S1RM2
#ImageWidth: 8144
#ImageHeight: 5424
#ImagePixels: 44173056
#Firmware: 
#Lens: none-bodycap
#ShutterType: 机械快门
#Compression: 无损压缩
#LongExposureNR: off (declared)
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 8152x5432
#SensorBlackTag: 512
#SensorMaximum: 16319
#Ladder: auto-shutter
#CropMosaic: 8000x5000
#PlanePerChannel: 4000x2500
# ShutterSec is the NOMINAL time from the file. A mechanical shutter
# departs from it systematically and unreadably, which is what the
# paired-shutter ladder exists to sidestep.
# ShutterSec is what LibRaw resolved the shutter to, and which EXIF field it
# took depends on the camera: ExposureTime normally, ShutterSpeedValue when
# that is missing, and for some vendors a maker-note field instead. It is also
# a float, so a stored 10/2500 comes back as 0.004000000189989805 -- that tail
# is float32 rounding, not information from the camera.
# ExposureTimeExif (0x829A) and ShutterApexExif (0x9201, APEX, t = 2^-v) are
# therefore recorded verbatim as the fractions the file holds, empty when the
# camera wrote no such field. Which of them to trust is an analysis decision.
#
# g1/g2 = (t1/t2) * (Mean2 - BL2) / (Mean1 - BL1), with BL from the dark set.
ISO,ShutterSec,ExposureTimeExif,ShutterApexExif,Aperture,ShutterGroup,File,Channel,ColorIndex,N,Mean,Std,ClipFrac
100,1,10/10,,0,1.00000,P1019569.RW2,C00,0,10000000,1345.7776912,106.36476858598832,0
100,1,10/10,,0,1.00000,P1019569.RW2,C01,1,10000000,2007.2307061,168.5017249505938,0
100,1,10/10,,0,1.00000,P1019569.RW2,C10,3,10000000,2019.8480843,171.2276058037665,0
100,1,10/10,,0,1.00000,P1019569.RW2,C11,2,10000000,1539.843841,122.36838121572427,0
125,0.7692307829856873,10/13,,0,0.769231,P1019570.RW2,C00,0,10000000,1350.1098107,107.23834329905074,0
125,0.7692307829856873,10/13,,0,0.769231,P1019570.RW2,C01,1,10000000,2014.7005935,169.63475535528116,0
125,0.7692307829856873,10/13,,0,0.769231,P1019570.RW2,C10,3,10000000,2027.3467618,172.3840856537959,0
125,0.7692307829856873,10/13,,0,0.769231,P1019570.RW2,C11,2,10000000,1545.2479577,123.35303139722589,0
160,0.625,10/16,,0,0.625000,P1019571.RW2,C00,0,10000000,1345.2790516,107.06604754503985,0
160,0.625,10/16,,0,0.625000,P1019571.RW2,C01,1,10000000,2005.2335268,168.84102927012788,0
160,0.625,10/16,,0,0.625000,P1019571.RW2,C10,3,10000000,2017.8066031,171.56690566553965,0
160,0.625,10/16,,0,0.625000,P1019571.RW2,C11,2,10000000,1539.3072967,123.15233865021875,0
200,0.5,10/20,,0,0.500000,P1019572.RW2,C00,0,10000000,1341.5596242,106.99038631787991,0
200,0.5,10/20,,0,0.500000,P1019572.RW2,C01,1,10000000,1999.8520135,168.66286009256467,0
200,0.5,10/20,,0,0.500000,P1019572.RW2,C10,3,10000000,2012.3848342,171.37332819289097,0
