#Format: JPTC/2
#Tool: jptc-collect 0.1.0
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-12T15:09:29.376Z
#
# Every value below is as measured. No correction of any kind has been
# applied, and no black level has been subtracted. The black level belongs
# to the dark set, which is why that one is shot first.
#
#Camera: Panasonic DC-S1RM2
#ImageWidth: 8144
#ImageHeight: 5424
#ImagePixels: 44173056
#Firmware: 
#Lens: none-bodycap
#ShutterType: 机械快门
#Compression: 无损压缩
#LongExposureNR: off (declared)
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 8152x5432
#SensorBlackTag: 512
#SensorMaximum: 16319
#Pairing: Differential
#CropMosaic: 512x512
#PlanePerChannel: 256x256
#ISO: 400
#ClipSigma: 3.5
#ClipVarianceFactor: 0.9938883771107201
#ChannelOrder: R,G1,G2,B by colour. G1 shares its row with red.
# Levels are raw. No black level has been subtracted, and none is quoted:
# the black level is a measurement of its own and lives in the dark set,
# which travels in the same submission. Joining the two is an analysis
# step, and doing it here would make one entry depend on another having
# been processed first -- a rule the person shooting should not have to know.
# StdDiff is the standard deviation of A-B. Not halved, not corrected.
# StdDiffClipped is the same after the sigma clip; the unclipped value is
# kept beside it so the clip can be judged rather than trusted.
#
# ShutterSec is what LibRaw resolved the shutter to, and which EXIF field it
# took depends on the camera: ExposureTime normally, ShutterSpeedValue when
# that is missing, and for some vendors a maker-note field instead. It is also
# a float, so a stored 10/2500 comes back as 0.004000000189989805 -- that tail
# is float32 rounding, not information from the camera.
# ExposureTimeExif (0x829A) and ShutterApexExif (0x9201, APEX, t = 2^-v) are
# therefore recorded verbatim as the fractions the file holds, empty when the
# camera wrote no such field. Which of them to trust is an analysis decision.
# The two frames of a pair are grouped on an identical ShutterSec, so the
# fractions below are the ones frame A holds.
ISO,ShutterSec,ExposureTimeExif,ShutterApexExif,Aperture,Filename,FileB,N,R_Mean,G1_Mean,G2_Mean,B_Mean,R_Std,G1_Std,G2_Std,B_Std,R_MeanB,G1_MeanB,G2_MeanB,B_MeanB,R_StdB,G1_StdB,G2_StdB,B_StdB,R_StdMasked,G1_StdMasked,G2_StdMasked,B_StdMasked,R_StdDiff,G1_StdDiff,G2_StdDiff,B_StdDiff,R_StdDiffClipped,G1_StdDiffClipped,G2_StdDiffClipped,B_StdDiffClipped,R_DiffOffset,G1_DiffOffset,G2_DiffOffset,B_DiffOffset,R_Rejected,G1_Rejected,G2_Rejected,B_Rejected,R_ClipFrac,G1_ClipFrac,G2_ClipFrac,B_ClipFrac
400,3.200000047683716,32/10,,0,P1019651.RW2,P1019652.RW2,65536,16383,16383,16383,16383,0,0,0,0,16383,16383,16383,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
400,1,10/10,,0,P1019653.RW2,P1019654.RW2,65536,9214.883529663086,15451.130798339844,15530.234558105469,10727.65365600586,105.12325826147318,142.37309149415702,153.30587297960213,111.2935019438738,9215.626968383789,15452.38102722168,15532.776977539062,10729.136825561523,104.66289092589523,142.2971779761567,154.5119977946864,111.49075568315706,105.01707781088382,142.11361147135693,153.21815885813265,111.10444457792659,139.33419835907802,179.71416542443615,179.9741014604661,145.28281275052288,139.0032580548891,179.0864700993946,179.556287212138,144.6119677902727,-0.743438720703125,-1.2502288818359375,-2.54241943359375,-1.4831695556640625,25,33,23,46,0,0,0,0
400,0.625,10/16,,0,P1019655.RW2,P1019656.RW2,65536,5965.908874511719,9908.22200012207,9958.815002441406,6917.033126831055,81.39715671083884,110.64663590223289,116.12134277741757,86.23155028002347,5966.396484375,9909.05892944336,9960.097473144531,6916.073974609375,81.2250650272304,109.91909163125959,116.88337026809974,85.97032099348827,81.28708030144774,110.52327726835429,115.9351792658631,86.04635897298691,110.34808599614765,144.96091170720769,145.29865266044865,115.0348494206316,110.05102538551274,144.47784408094415,144.7701153107479,114.49568263275164,-0.48760986328125,-0.8369293212890625,-1.282470703125,0.9591522216796875,28,33,36,46,0,0,0,0
400,0.4000000059604645,10/25,,0,P1019657.RW2,P1019658.RW2,65536,3933.0089569091797,6407.147857666016,6438.97492980957,4526.839263916016,63.77786631479982,85.45080767275073,89.03183326858104,66.83591647859336,3933.2877502441406,6406.655242919922,6438.602890014648,4526.159164428711,63.42922548320013,85.51994226964017,88.55260854572599,67.22238007267721,63.6876404627747,85.2988604600115,88.94292671855685,66.70609550319028,87.46558347585274,114.75407272285318,114.32547911111136,91.14803373693866,87.19238732907498,114.34417073023367,114.03653486137988,90.73505903700729,-0.2787933349609375,0.49261474609375,0.372039794921875,0.6800994873046875,32,36,26,46,0,0,0,0
400,0.25,10/40,,0,P1019659.RW2,P1019660.RW2,65536,2663.2298278808594,4218.213485717773,4238.224319458008,3035.2169799804688,49.82074900938431,66.97687165745167,68.4855364320381,51.87855108453154,2663.5086975097656,4218.193222045898,4237.75749206543,3034.9275970458984,49.859032997771564,66.68517720773413,68.44708032437572,51.92636085090516,49.771175599964074,66.89115335230333,68.36935880551142,51.75997166348985,69.05432907763058,91.19019995975691,91.09227908784443,71.51028651941525,68.92762069513338,90.93192503077147,90.79202329227365,71.19623715042147,-0.27886962890625,0.020263671875,0.466827392578125,0.2893829345703125,19,29,33,44,0,0,0,0
400,0.1666666716337204,10/60,,0,P1019661.RW2,P1019662.RW2,65536,1861.8116912841797,2835.0704345703125,2847.6353149414062,2094.9783782958984,39.24196955941868,52.285675378217285,53.21992644769334,40.7137679472881,1861.2335662841797,2834.1450805664062,2846.418487548828,2094.261688232422,39.294452711554456,51.71511874574068,52.89375024077148,40.931678499980706,39.152532445535,52.21591623610968,53.16818794163622,40.62754134598936,54.965640515626205,71.75083417919515,72.18880102589316,56.66109022296013,54.73818348290421,71.54768134216458,71.98822254742561,56.39285762534985,0.578125,0.92535400390625,1.216827392578125,0.7166900634765625,40,29,29,46,0,0,0,0
400,0.10000000149011612,10/100,,0,P1019663.RW2,P1019664.RW2,65536,1358.8367767333984,1968.1657257080078,1976.2247314453125,1505.2487487792969,30.81790695425627,40.841099119979916,41.69894173594597,32.3568445768735,1359.5133819580078,1969.1296081542969,1977.2615051269531,1506.0601196289062,31.034610602070583,40.851712274919365,41.439830056912214,32.36049214039301,30.775968217185262,40.778792040849424,41.62315349590291,32.269161139611576,43.37079118376381,56.86672938108712,57.47692925374613,45.22483900939914,43.24118029844817,56.67602019623968,57.29579541001415,45.02005009553985,-0.676605224609375,-0.9638824462890625,-1.036773681640625,-0.811370849609375,28,34,32,45,0,0,0,0
400,0.06666667014360428,10/150,,0,P1019665.RW2,P1019666.RW2,65536,1046.1316833496094,1429.0628509521484,1434.113037109375,1138.2253112792969,24.443711080937153,32.438780511473695,32.494903761123915,25.58966512819819,1045.6165466308594,1428.4702758789062,1433.487777709961,1137.8621368408203,24.48983727289013,32.330891112659984,32.451411927825596,25.608862946124724,24.390048833654973,32.3837452505572,32.44548507426139,25.536585358266958,34.39385356585399,45.28348595300677,45.02340883740829,35.96842988233624,34.253433795124494,45.12154167755412,44.908346263704935,35.79983213531675,0.51513671875,0.5925750732421875,0.6252593994140625,0.3631744384765625,41,35,26,46,0,0,0,0
400,0.03999999910593033,10/250,,0,P1019667.RW2,P1019668.RW2,65536,847.4544830322266,1087.946762084961,1091.2184753417969,905.3834838867188,19.515053855123096,25.465940510489123,25.49659674772568,19.947420884755932,847.5327606201172,1087.89404296875,1091.0716705322266,905.4003143310547,19.62306961103219,25.465279885715304,25.673931914352266,20.05917725392294,19.48183338733273,25.4115720415333,25.46211649970908,19.8958348588943,27.63958283040895,35.76140273561653,35.897083929452144,28.03875791314134,27.55160043441411,35.611516395478915,35.76409302959407,27.88869630021065,-0.078277587890625,0.0527191162109375,0.1468048095703125,-0.0168304443359375,32,41,36,53,0,0,0,0
400,0.02500000037252903,10/400,,0,P1019669.RW2,P1019670.RW2,65536,723.2021942138672,874.6028594970703,876.7387542724609,759.9840698242188,15.579484705894801,20.308519389155173,20.51941980239704,15.924595994674357,723.0025939941406,874.4598541259766,876.2696075439453,759.5331726074219,15.560033726222551,20.28656770173639,20.452757804593634,15.871421968112042,15.55819449886009,20.28755344704695,20.474627041523963,15.890707416950676,21.993704763020073,28.613676804025413,28.718284655832235,22.375274363313864,21.92931041303938,28.550070848636206,28.60643549346679,22.275626473370583,0.1996002197265625,0.14300537109375,0.469146728515625,0.450897216796875,30,22,39,45,0,0,0,0
400,0.01666666753590107,10/600,,0,P1019671.RW2,P1019672.RW2,65536,645.0566711425781,740.2671356201172,741.4512176513672,668.3678588867188,12.516751588137558,16.253228168738392,16.246596696428416,12.780418460457346,645.1613006591797,740.4329681396484,741.5486602783203,668.2102355957031,12.56136164490113,16.203204138495757,16.232777233835133,12.712807050187097,12.492782110138183,16.22596036103104,16.226099980135643,12.758720376004531,17.698441875535632,22.86293535304572,22.846074953586626,17.954076082180052,17.62770902267407,22.791357410656197,22.777015415158797,17.889152829785786,-0.1046295166015625,-0.16583251953125,-0.097442626953125,0.157623291015625,40,31,32,37,0,0,0,0
400,0.009999999776482582,10/1000,,0,P1019673.RW2,P1019674.RW2,65536,595.696533203125,655.7140502929688,656.5718231201172,610.4510498046875,10.087672934099157,12.992295609796326,13.021584705668877,10.327861747677492,595.8404693603516,655.759033203125,656.5457305908203,610.5305633544922,10.144720034656011,13.013574412122098,12.982551891920671,10.376929753836043,10.074632017647257,12.974938263852016,13.005741295400357,10.303030973674868,14.274886514029406,18.370789701319552,18.361997213286614,14.580113176332652,14.235510474802863,18.326876945204553,18.32311930322224,14.49982934520351,-0.1439361572265625,-0.04498291015625,0.026092529296875,-0.0795135498046875,27,25,21,53,0,0,0,0
400,0.0062500000931322575,10/1600,,0,P1019675.RW2,P1019676.RW2,65536,564.7034606933594,602.5703430175781,603.0124664306641,573.9976501464844,8.13860723182948,10.507202671660611,10.473553374360478,8.36379628188024,564.544677734375,602.5692596435547,603.0668640136719,573.9649047851562,8.177163204385998,10.468488525564455,10.501552855336213,8.338099756279949,8.126482743770103,10.49361853440682,10.45844648008105,8.346484308358752,11.534587264284253,14.832194781301899,14.78732271193836,11.766032327132491,11.498097194955884,14.793265591182458,14.739503917497291,11.725073296913111,0.158782958984375,0.0010833740234375,-0.0543975830078125,0.032745361328125,29,26,32,32,0,0,0,0
400,0.004000000189989805,10/2500,,0,P1019677.RW2,P1019678.RW2,65536,545.2308044433594,569.3690185546875,569.4491119384766,551.3397979736328,6.739301632632951,8.471714686277817,8.492182473863554,6.834893619729302,545.1644439697266,569.2301788330078,569.4985046386719,551.1929168701172,6.659533210315398,8.47514261251803,8.480778920608973,6.808938102715827,6.726156665712147,8.457980801262114,8.480147142386171,6.823535110843668,9.423660501802384,11.973864431539901,11.951737281476515,9.62393201778707,9.381557123446761,11.939197935444437,11.916833270028423,9.58549782437879,0.0663604736328125,0.1388397216796875,-0.0493927001953125,0.146881103515625,43,29,30,41,0,0,0,0
400,0.0024999999441206455,10/4000,,0,P1019679.RW2,P1019680.RW2,65536,532.7107696533203,548.0470428466797,548.1886291503906,536.5404357910156,5.469819311894948,6.954474864163378,6.905991337729851,5.569663063556663,532.7877502441406,547.9503631591797,548.2874298095703,536.7101745605469,5.455776144404199,6.928823777325869,6.922966781469391,5.578620339482569,5.453445604464286,6.939373161475675,6.896692593492086,5.55531353154506,7.70034726661288,9.813538509185136,9.722623916379707,7.845422210882826,7.6635239947374405,9.777110058775957,9.698064328374954,7.812897416620915,-0.0769805908203125,0.0966796875,-0.0988006591796875,-0.16973876953125,49,33,23,40,0,0,0,0
400,0.0015625000232830644,10/6400,,0,P1019681.RW2,P1019682.RW2,65536,524.9892578125,534.5833282470703,534.7445526123047,527.3866119384766,4.525786240262123,5.613867646107154,5.634833400575449,4.6084027223545565,525.0739898681641,534.5673828125,534.6949157714844,527.5487823486328,4.530877463100294,5.6354045961433785,5.6716090796777126,4.629450908500942,4.510990308434348,5.602505248578602,5.625524417380414,4.5915007368001115,6.382950227229547,7.93043141210727,7.985337455143216,6.492075388157128,6.353301786944579,7.8950914899670686,7.952741254876759,6.448259230068951,-0.0847320556640625,0.0159454345703125,0.0496368408203125,-0.16217041015625,44,39,37,67,0,0,0,0
400,0.0010000000474974513,10/10000,,0,P1019683.RW2,P1019684.RW2,65536,520.0518035888672,526.1635894775391,526.2602386474609,521.6270446777344,3.8652813863361244,4.667478306095262,4.67953184718357,3.871121759005746,520.0210571289062,526.2886505126953,526.3795318603516,521.5450592041016,3.8618370794836756,4.698182279919837,4.694501513231425,3.8896680661614655,3.846834047739591,4.649983751744097,4.666572601909392,3.8525349556839097,5.462494866805956,6.609264970894639,6.602481165761683,5.46733852298474,5.424165131524491,6.570314708001694,6.566227015604148,5.425718827263098,0.0307464599609375,-0.12506103515625,-0.119293212890625,0.0819854736328125,58,55,52,71,0,0,0,0
