#Format: JPTC-ISOGAIN/1
#Tool: jptc-collect 0.1.0
#Decoder: LibRaw 0.22.2-Release
#Generated: 2026-08-12T08:41:26.683Z
#
# Every value below is as measured. No correction of any kind has been
# applied, and no black level has been subtracted. The black level belongs
# to the dark set, which is why that one is shot first.
#
#Camera: Panasonic DC-S5M2
#Firmware: 
#Lens: none-bodycap
#ShutterType: mech
#Compression: lossless
#BitDepth: 14
#LongExposureNR: off (declared)
#AmbientC: 
#
#AdcStep: 1
#LinearisationCurve: identity
#CfaPattern: RGBG
#CfaOrder: C00,C01,C10,C11 by position in the 2x2 cell, not by colour name
#RawSize: 6008x4008
#SensorBlackTag: 512
#SensorMaximum: 16319
#Ladder: auto-shutter
#CropMosaic: 5900x3900
#PlanePerChannel: 2950x1950
# ShutterSec is the NOMINAL time from the file. A mechanical shutter
# departs from it systematically and unreadably, which is what the
# paired-shutter ladder exists to sidestep.
#
# g1/g2 = (t1/t2) * (Mean2 - BL2) / (Mean1 - BL1), with BL from the dark set.
ISO,ShutterSec,Aperture,ShutterGroup,File,Channel,ColorIndex,N,Mean,Std,ClipFrac
100,0.625,11,0.625000,P2642118.RW2,C00,0,5752500,1625.6739169056932,178.03730845054318,0
100,0.625,11,0.625000,P2642118.RW2,C01,1,5752500,2418.888311342894,288.82699393544027,0
100,0.625,11,0.625000,P2642118.RW2,C10,3,5752500,2420.3757656671014,288.0448287597387,0
100,0.625,11,0.625000,P2642118.RW2,C11,2,5752500,1399.731582268579,130.90656271627068,0
125,0.5,11,0.500000,P2642119.RW2,C00,0,5752500,1623.889844936984,177.97803167031867,0
125,0.5,11,0.500000,P2642119.RW2,C01,1,5752500,2417.966718817905,289.06699691372324,0
125,0.5,11,0.500000,P2642119.RW2,C10,3,5752500,2419.4267834854413,288.2813937252429,0
125,0.5,11,0.500000,P2642119.RW2,C11,2,5752500,1398.1873086484138,130.8447802499755,0
160,0.4000000059604645,11,0.400000,P2642120.RW2,C00,0,5752500,1623.710742807475,178.1494738342293,0
160,0.4000000059604645,11,0.400000,P2642120.RW2,C01,1,5752500,2416.8772971751414,289.32192871807393,0
160,0.4000000059604645,11,0.400000,P2642120.RW2,C10,3,5752500,2418.281037809648,288.4953488515585,0
160,0.4000000059604645,11,0.400000,P2642120.RW2,C11,2,5752500,1398.0303565406346,131.01214065923318,0
200,0.3125,11,0.312500,P2642121.RW2,C00,0,5752500,1630.1404860495436,179.4095322250694,0
200,0.3125,11,0.312500,P2642121.RW2,C01,1,5752500,2426.5136231203824,290.9811684725203,0
200,0.3125,11,0.312500,P2642121.RW2,C10,3,5752500,2427.9329314211213,290.1134841353664,0
200,0.3125,11,0.312500,P2642121.RW2,C11,2,5752500,1403.0618176445023,132.0263727926859,0
250,0.25,11,0.250000,P2642122.RW2,C00,0,5752500,1631.845062668405,179.88618523516757,0
250,0.25,11,0.250000,P2642122.RW2,C01,1,5752500,2428.6100076488483,291.5936237751623,0
250,0.25,11,0.250000,P2642122.RW2,C10,3,5752500,2430.0419365493262,290.68840656159733,0
250,0.25,11,0.250000,P2642122.RW2,C11,2,5752500,1404.4629740112994,132.47394603249282,0
320,0.20000000298023224,11,0.200000,P2642123.RW2,C00,0,5752500,1627.6796338983052,179.48405244762046,0
320,0.20000000298023224,11,0.200000,P2642123.RW2,C01,1,5752500,2420.007267448935,290.70162717408465,0
320,0.20000000298023224,11,0.200000,P2642123.RW2,C10,3,5752500,2421.430054932638,289.78172132347214,0
320,0.20000000298023224,11,0.200000,P2642123.RW2,C11,2,5752500,1401.0673679269883,132.29545468439252,0
400,0.1666666716337204,11,0.166667,P2642124.RW2,C00,0,5752500,1632.485608691873,180.7333575321712,0
400,0.1666666716337204,11,0.166667,P2642124.RW2,C01,1,5752500,2429.3163834854413,292.6381781150513,0
400,0.1666666716337204,11,0.166667,P2642124.RW2,C10,3,5752500,2430.7311965232507,291.7225457171478,0
400,0.1666666716337204,11,0.166667,P2642124.RW2,C11,2,5752500,1404.924211907866,133.3722857967586,0
500,0.125,11,0.125000,P2642125.RW2,C00,0,5752500,1632.386749934811,181.18407405958814,0
500,0.125,11,0.125000,P2642125.RW2,C01,1,5752500,2429.5672996088656,293.22337217344,0
500,0.125,11,0.125000,P2642125.RW2,C10,3,5752500,2430.9739907866146,292.3020386941847,0
500,0.125,11,0.125000,P2642125.RW2,C11,2,5752500,1405.2049630595393,133.91997491147262,0
640,0.10000000149011612,11,0.100000,P2642126.RW2,C00,0,5752500,1625.6649755758367,180.41395831754667,0
640,0.10000000149011612,11,0.100000,P2642126.RW2,C01,1,5752500,2428.1620008691875,292.5479738782402,0
