#BlackLevel: 1007.8265,1007.7873,1007.7238,1007.6511
#ImageHeight: 5504
#Mode: Independent
Filename,Row,Col,R_Mean,G1_Mean,G2_Mean,B_Mean,R_Std,G1_Std,G2_Std,B_Std
imgSZ7_8109.NEF,1,1,8844.6730,11814.1056,11832.4293,5334.5907,51.2455,64.4205,65.2726,40.6726
imgSZ7_8110.NEF,1,1,7233.2064,9588.4956,9602.3202,4444.5001,45.1542,55.6539,56.4128,35.4435
imgSZ7_8111.NEF,1,1,5952.7910,7823.2602,7834.0019,3737.8457,40.0642,47.9506,48.9988,31.1469
imgSZ7_8112.NEF,1,1,4934.7693,6418.1369,6426.7006,3174.8918,35.3436,41.6292,42.4000,27.1510
imgSZ7_8113.NEF,1,1,4127.0427,5305.2914,5309.4255,2727.9022,31.2302,36.0692,36.7254,23.8042
imgSZ7_8114.NEF,1,1,3482.0098,4419.7014,4423.2590,2373.4351,28.0870,32.0267,32.3689,20.8948
imgSZ7_8115.NEF,1,1,2972.7041,3719.6815,3722.5877,2091.8311,24.6488,28.1839,28.4827,18.5154
imgSZ7_8116.NEF,1,1,2568.6265,3162.3947,3164.2322,1869.0345,21.8637,24.9264,25.2195,16.3502
imgSZ7_8117.NEF,1,1,2248.0323,2717.5567,2718.7235,1691.3094,19.2158,21.4125,21.8140,14.6196
imgSZ7_8118.NEF,1,1,1990.1196,2360.8631,2361.3344,1548.1025,17.4558,19.2178,19.4289,13.0435
imgSZ7_8119.NEF,1,1,1790.6341,2085.2521,2085.8921,1437.7953,15.2962,16.7610,17.0843,11.6773
imgSZ7_8120.NEF,1,1,1629.6350,1863.3961,1863.8947,1348.5147,13.6560,14.8492,15.1526,10.1610
imgSZ7_8121.NEF,1,1,1500.5944,1687.1032,1687.3442,1278.0961,12.6223,13.7172,13.7427,9.1256
imgSZ7_8122.NEF,1,1,1399.1761,1547.4437,1547.7130,1222.4228,11.2979,12.1969,12.2329,8.1700
imgSZ7_8123.NEF,1,1,1318.2141,1435.7638,1435.9654,1178.4362,9.8284,10.5527,10.8838,7.3542
imgSZ7_8124.NEF,1,1,1253.9911,1347.2919,1347.3803,1142.5268,8.7672,9.4361,9.4586,6.8222
imgSZ7_8125.NEF,1,1,1202.9190,1277.1400,1277.2424,1114.4103,8.0296,8.5729,8.5838,5.8629
imgSZ7_8126.NEF,1,1,1162.8198,1221.5369,1221.6788,1092.4015,7.0218,7.6146,7.5863,5.3265
imgSZ7_8127.NEF,1,1,1131.5577,1177.7879,1177.8225,1074.7401,6.4565,6.8667,6.9262,4.8037
imgSZ7_8128.NEF,1,1,1106.0880,1142.8207,1142.5745,1061.0098,5.8537,6.2231,6.2069,4.2700
imgSZ7_8129.NEF,1,1,1085.7195,1114.8693,1114.7467,1049.9594,5.2341,5.5547,5.5845,3.9325
imgSZ7_8130.NEF,1,1,1069.6590,1092.6928,1092.6230,1041.2078,4.7038,4.9766,5.0090,3.6019
imgSZ7_8131.NEF,1,1,1056.9551,1075.1227,1075.1059,1034.1107,4.2663,4.4535,4.4704,3.3002
imgSZ7_8132.NEF,1,1,1046.8951,1061.2553,1061.2129,1028.6424,3.8415,3.9486,3.9535,2.9170
imgSZ7_8133.NEF,1,1,1038.8336,1050.4015,1050.1850,1024.3930,3.5193,3.6343,3.6292,2.7261
imgSZ7_8134.NEF,1,1,1032.4455,1041.5594,1041.3348,1020.9090,3.1865,3.2850,3.2987,2.5785
imgSZ7_8135.NEF,1,1,1027.3765,1034.5334,1034.3423,1018.1113,2.9627,2.9853,2.9895,2.4434
imgSZ7_8136.NEF,1,1,1023.2781,1029.0418,1028.9414,1015.9365,2.7341,2.6601,2.6563,2.1643
imgSZ7_8137.NEF,1,1,1020.0701,1024.6645,1024.5753,1014.2010,2.4410,2.4446,2.4451,1.9785
imgSZ7_8138.NEF,1,1,1017.5021,1021.1649,1021.0672,1012.9131,2.3627,2.2672,2.2592,1.9264
imgSZ7_8139.NEF,1,1,1015.4403,1018.3625,1018.2749,1011.8398,2.1675,2.1035,2.1122,1.9483
imgSZ7_8140.NEF,1,1,1013.8786,1016.1591,1016.0822,1010.9284,1.9615,1.9481,1.9554,1.9219
imgSZ7_8141.NEF,1,1,1012.6319,1014.3805,1014.3107,1010.1995,1.9295,1.8055,1.8119,1.8374
imgSZ7_8142.NEF,1,1,1011.5938,1012.9729,1012.9079,1009.6041,1.9540,1.6842,1.7034,1.7328
imgSZ7_8143.NEF,1,1,1010.7806,1011.9093,1011.8429,1009.2076,1.9010,1.5883,1.6095,1.6551
imgSZ7_8144.NEF,1,1,1010.1157,1011.0659,1010.9854,1008.8587,1.8029,1.5203,1.5354,1.5608
imgSZ7_8145.NEF,1,1,1009.5784,1010.3705,1010.2918,1008.5946,1.6806,1.4442,1.4705,1.5056
imgSZ7_8146.NEF,1,1,1009.1860,1009.8239,1009.7427,1008.3742,1.5732,1.3989,1.4147,1.4563
imgSZ7_8147.NEF,1,1,1008.9088,1009.4232,1009.3455,1008.2092,1.5054,1.3540,1.3702,1.4396
imgSZ7_8148.NEF,1,1,1008.6747,1009.0785,1008.9978,1008.1156,1.4476,1.3225,1.3450,1.4179
imgSZ7_8149.NEF,1,1,1008.4989,1008.8209,1008.7401,1008.0292,1.4063,1.2963,1.3215,1.3891
imgSZ7_8150.NEF,1,1,1008.3564,1008.5938,1008.5188,1007.9508,1.3835,1.2740,1.2965,1.3787
imgSZ7_8151.NEF,1,1,1008.2592,1008.4579,1008.3863,1007.9007,1.3621,1.2596,1.2783,1.3656
imgSZ7_8152.NEF,1,1,1008.1575,1008.2880,1008.2146,1007.8362,1.3341,1.2345,1.2611,1.3685
imgSZ7_8153.NEF,1,1,1008.1068,1008.2160,1008.1417,1007.7984,1.3293,1.2243,1.2565,1.3556
imgSZ7_8154.NEF,1,1,1008.0620,1008.1391,1008.0746,1007.7776,1.3277,1.2290,1.2464,1.3675
imgSZ7_8155.NEF,1,1,1008.0025,1008.0553,1007.9874,1007.7407,1.3228,1.2200,1.2404,1.3608
imgSZ7_8156.NEF,1,1,1007.8210,1007.7905,1007.7240,1007.6357,1.3031,1.1868,1.2082,1.3622
imgSZ7_8157.NEF,1,1,1007.8265,1007.7873,1007.7238,1007.6511,1.2938,1.1805,1.2038,1.3610
imgSZ7_8158.NEF,1,1,10963.0736,14875.1323,14903.0593,6635.2419,57.9169,70.8030,72.1226,45.4523
imgSZ7_8159.NEF,1,1,13515.7062,16383.0000,16383.0000,8092.5800,69.8807,0.0000,0.0000,50.4226
