#BlackLevel: 2047.440902709961,2047.7069244384766,2047.9172058105469,2047.860122680664
#ImageHeight: 4344
#Mode: Independent
Filename,Row,Col,R_Mean,G1_Mean,G2_Mean,B_Mean,R_Std,G1_Std,G2_Std,B_Std
imgP1600770.RW2,1,1,50244.0071,65426.5005,65429.9870,65428.3084,419.8830,4.8655,4.6336,5.0169
imgP1600771.RW2,1,1,40519.7040,65428.5143,65430.0056,60819.6026,351.2642,4.8664,4.6311,447.7048
imgP1600772.RW2,1,1,32536.3073,58885.3931,58872.5225,48527.9359,298.9001,456.0817,468.1182,376.1513
imgP1600773.RW2,1,1,26257.4793,47213.7578,47155.9153,38974.2569,251.8812,380.7047,388.5505,322.2048
imgP1600774.RW2,1,1,21291.8249,38010.6851,37917.1902,31419.1969,214.5134,322.7236,328.6490,269.8129
imgP1600775.RW2,1,1,17289.9474,30585.8020,30488.4190,25318.3928,183.8939,274.7994,279.9341,229.1237
imgP1600776.RW2,1,1,14133.8701,24711.6706,24634.8756,20530.1046,167.9543,235.5430,240.0255,195.1899
imgP1600777.RW2,1,1,11655.9516,20052.8191,19976.3680,16730.7487,157.8477,227.8572,233.9168,189.3530
imgP1600778.RW2,1,1,9656.5356,16297.8958,16229.7061,13659.1575,136.6939,195.6268,200.2852,153.5366
imgP1600779.RW2,1,1,8080.7807,13374.7391,13320.3562,11280.0308,119.6019,167.3314,173.7223,138.9608
imgP1600780.RW2,1,1,6841.2340,11037.4417,10993.4571,9379.3728,106.6615,146.8883,150.3975,124.0211
imgP1600781.RW2,1,1,5808.4022,9124.7176,9077.7203,7763.2839,83.2511,139.4326,140.9041,114.6576
imgP1600782.RW2,1,1,5030.4216,7666.5901,7628.0825,6575.4655,73.0492,124.3642,125.3173,97.4546
imgP1600783.RW2,1,1,4415.6681,6491.0882,6472.1502,5683.9597,65.1326,98.9374,97.2994,77.1784
imgP1600784.RW2,1,1,3923.6016,5571.7500,5566.4047,4921.2704,57.2256,79.6270,81.3206,66.7187
imgP1600785.RW2,1,1,3535.0516,4843.6536,4835.6293,4325.8893,50.8062,69.7439,71.0638,59.2381
imgP1600786.RW2,1,1,3225.6343,4267.1465,4258.7317,3854.9860,45.1184,61.7858,62.2690,52.1727
imgP1600787.RW2,1,1,2979.8169,3804.7232,3795.1478,3475.5373,48.2849,67.0978,67.7649,57.7419
imgP1600788.RW2,1,1,2786.1334,3439.9386,3432.8688,3179.7593,43.3188,58.8898,59.8363,51.5330
imgP1600789.RW2,1,1,2632.6323,3150.5577,3144.8048,2945.3467,38.2131,53.0561,53.4272,45.6199
imgP1600790.RW2,1,1,2510.3802,2920.2964,2914.4389,2757.6849,34.9228,46.6686,47.1992,41.0237
imgP1600791.RW2,1,1,2414.4627,2739.4106,2734.3620,2610.4753,31.1073,42.3861,42.4880,35.8749
imgP1600792.RW2,1,1,2337.3770,2595.7993,2592.4143,2493.7258,28.5349,37.6463,37.2526,32.6134
imgP1600793.RW2,1,1,2276.5917,2481.1646,2478.3959,2399.9988,25.3811,33.4147,33.6270,29.3122
imgP1600794.RW2,1,1,2229.1014,2391.3426,2389.0815,2326.7025,22.9108,30.5372,30.1336,26.6172
imgP1600795.RW2,1,1,2191.3826,2319.5784,2317.5090,2269.0376,21.2090,27.3065,27.2510,23.8984
imgP1600796.RW2,1,1,2160.5310,2262.5021,2260.8288,2222.6738,19.2994,24.5756,24.6753,21.7033
imgP1600797.RW2,1,1,2137.7351,2218.1750,2216.8939,2186.6518,17.5754,22.3923,22.2095,20.0182
imgP1600798.RW2,1,1,2118.7655,2182.2291,2181.3600,2157.1114,16.4227,20.6580,20.4878,18.3368
imgP1600799.RW2,1,1,2103.4735,2153.8439,2152.2661,2133.5910,15.2753,18.6538,18.6227,16.4817
imgP1600800.RW2,1,1,2091.1894,2131.2259,2130.0580,2115.5227,14.2153,17.2861,17.1380,15.4343
imgP1600801.RW2,1,1,2081.9159,2113.5011,2112.5482,2101.1125,13.4333,16.0896,16.0376,14.4945
imgP1600802.RW2,1,1,2074.4897,2099.4871,2098.6290,2089.6195,12.7474,14.9640,15.0034,13.5689
imgP1600803.RW2,1,1,2068.8052,2088.7466,2087.9051,2080.8952,12.1997,13.9656,14.0028,12.7834
imgP1600804.RW2,1,1,2064.5435,2080.5929,2079.9592,2074.3379,11.7655,13.2918,13.2835,12.2506
imgP1600805.RW2,1,1,2060.9498,2073.7037,2073.1901,2068.8472,11.3897,12.6516,12.6221,11.7434
imgP1600806.RW2,1,1,2058.0989,2068.2509,2067.6463,2064.3689,11.0890,12.1496,12.0850,11.2655
imgP1600807.RW2,1,1,2055.8047,2063.9824,2063.5894,2060.7867,10.8402,11.7149,11.6965,10.8401
imgP1600808.RW2,1,1,2054.0566,2060.5629,2060.0612,2057.9871,10.6448,11.3332,11.3492,10.5815
imgP1600809.RW2,1,1,2052.6410,2057.8654,2057.3197,2056.4764,10.4563,11.0468,11.0615,10.3542
