#BlackLevel: 511.69447326660156,511.72174072265625,511.72113037109375,511.7028503417969
#ImageWidth: 6000
#ImageHeight: 4000
#Mode: Independent
Filename,Row,Col,R_Mean,G1_Mean,G2_Mean,B_Mean,R_Std,G1_Std,G2_Std,B_Std
imgP1119681.RW2,1,1,14269.0548,16382.9790,16382.9790,16383.0000,64.1749,0.1435,0.1433,0.0000
imgP1119682.RW2,1,1,11386.9456,16383.0000,16383.0000,14530.4877,55.0874,0.0000,0.0000,64.5268
imgP1119683.RW2,1,1,9138.4359,16383.0000,16383.0000,11632.6176,47.4152,0.0000,0.0000,55.1422
imgP1119684.RW2,1,1,7355.2273,13428.8437,13429.3591,9333.5508,41.3572,63.6785,65.9778,47.6860
imgP1119685.RW2,1,1,5930.5730,10734.3589,10734.8605,7497.3547,35.4870,54.4248,55.7857,41.4396
imgP1119686.RW2,1,1,4813.3986,8618.1190,8618.8983,6052.6194,31.0373,46.9325,47.9667,35.4658
imgP1119687.RW2,1,1,3928.6108,6942.0916,6942.2272,4913.0913,27.2043,40.6707,41.4832,30.8148
imgP1119688.RW2,1,1,3218.4912,5601.3555,5601.7151,3996.9033,23.7786,34.9069,35.3925,26.7808
imgP1119689.RW2,1,1,2662.1425,4552.5381,4552.7300,3279.7557,21.1408,30.3526,30.7555,23.3777
imgP1119690.RW2,1,1,2220.7220,3720.3564,3720.6061,2710.6605,18.6367,26.4417,26.8386,20.8069
imgP1119691.RW2,1,1,1865.9200,3053.7221,3053.9092,2254.0753,16.4304,23.1315,23.3761,18.1542
imgP1119692.RW2,1,1,1588.0308,2531.3514,2531.4890,1896.6145,14.6683,20.5250,20.6250,16.1605
imgP1119693.RW2,1,1,1367.1388,2117.0294,2117.0658,1612.4753,13.0392,18.1756,18.2013,14.2527
imgP1119694.RW2,1,1,1189.3942,1783.5409,1783.6836,1384.0950,11.7053,16.0651,16.1292,12.6268
imgP1119695.RW2,1,1,1050.0343,1522.4014,1522.4977,1205.2917,10.4438,14.2300,14.2192,11.3840
imgP1119696.RW2,1,1,938.8737,1314.3980,1314.7935,1062.1468,9.3365,12.6206,12.6730,10.0954
imgP1119697.RW2,1,1,853.7772,1154.8553,1154.9567,952.6592,8.4180,11.4106,11.4668,9.0962
imgP1119698.RW2,1,1,785.0254,1025.4698,1025.5058,863.7119,7.5446,10.1831,10.2260,8.1570
imgP1119699.RW2,1,1,739.5053,940.2752,940.1698,805.1226,6.9554,9.3779,9.4020,7.4653
imgP1119700.RW2,1,1,682.6895,833.2003,833.2277,731.9099,6.1391,8.1877,8.1666,6.5873
imgP1119701.RW2,1,1,648.0077,768.4245,768.4757,687.4180,5.5743,7.3868,7.3878,5.9679
imgP1119702.RW2,1,1,625.4656,725.8284,725.8848,658.3230,5.1775,6.8091,6.8286,5.4942
imgP1119703.RW2,1,1,596.9435,672.2648,672.3269,621.4864,4.6221,6.0029,6.0146,4.8521
imgP1119704.RW2,1,1,579.9006,639.9262,639.8961,599.4511,4.2414,5.4414,5.4434,4.4463
imgP1119705.RW2,1,1,568.6878,618.9069,618.8249,585.1945,4.0109,5.0964,5.0923,4.1287
imgP1119706.RW2,1,1,554.2632,591.7896,591.7910,566.6437,3.6347,4.5317,4.5384,3.7263
imgP1119707.RW2,1,1,545.5690,575.6184,575.6077,555.4584,3.4467,4.2081,4.2008,3.4910
imgP1119708.RW2,1,1,540.0287,565.1590,565.1902,548.3553,3.2630,3.9402,3.9460,3.3100
imgP1119709.RW2,1,1,532.6850,551.1698,551.2994,538.8994,3.0372,3.6128,3.6079,3.0571
imgP1119710.RW2,1,1,528.4064,543.2522,543.0454,533.3403,2.9112,3.3651,3.3869,2.9126
imgP1119711.RW2,1,1,524.9951,536.7100,536.6737,528.9219,2.7792,3.1670,3.1757,2.7728
imgP1119712.RW2,1,1,522.2270,531.4995,531.4693,525.3547,2.6955,3.0003,3.0201,2.6686
imgP1119713.RW2,1,1,519.9720,527.4283,527.4331,522.4576,2.6320,2.8940,2.8464,2.5793
imgP1119714.RW2,1,1,518.3570,524.2279,524.2319,520.3441,2.5512,2.7781,2.7678,2.5045
imgP1119715.RW2,1,1,516.9404,521.6452,521.6470,518.5036,2.4835,2.6803,2.6663,2.4221
imgP1119716.RW2,1,1,515.8804,519.5633,519.5526,517.0217,2.4630,2.6160,2.6088,2.3851
imgP1119717.RW2,1,1,515.0433,517.8178,517.8241,516.0652,2.4267,2.5526,2.5375,2.3397
imgP1119718.RW2,1,1,514.3890,516.5920,516.6215,515.3042,2.3790,2.5199,2.4942,2.3084
imgP1119719.RW2,1,1,513.9585,515.5460,515.5439,514.3447,2.3516,2.4684,2.4516,2.2617
imgP1119720.RW2,1,1,513.3950,514.7834,514.7902,513.9873,2.3561,2.4252,2.4197,2.2774
imgP1119721.RW2,1,1,513.1271,514.1861,514.1861,513.5003,2.3431,2.4266,2.3951,2.2596
imgP1119722.RW2,1,1,512.8279,513.6772,513.6848,513.0206,2.3427,2.3845,2.3569,2.2440
imgP1119723.RW2,1,1,512.6498,513.1898,513.1934,512.8643,2.3235,2.3458,2.3366,2.2442
imgP1119724.RW2,1,1,512.3817,512.9993,513.0040,512.6678,2.3160,2.3336,2.3438,2.2216
imgP1119725.RW2,1,1,512.3177,512.6470,512.6597,512.4571,2.3306,2.3534,2.3675,2.1857
imgP1119726.RW2,1,1,512.1704,512.4400,512.4546,512.2925,2.3150,2.3046,2.2744,2.1834
imgP1119727.RW2,1,1,511.6957,511.7200,511.7213,511.7013,2.2733,2.2952,2.2894,2.1312
