#BlackLevel: 511.7612,511.6071,511.7322,511.6429
#ImageHeight: 4000,,,,,,,,,,
#Mode: Independent,,,,,,,,,,
Filename,Row,Col,R_Mean,G1_Mean,G2_Mean,B_Mean,R_Std,G1_Std,G2_Std,B_Std
imgP1119626.RW2,1,1,1119.521,1637.1852,1637.4029,1275.2254,10.9083,15.0863,15.1501,11.1463
imgP1119628.RW2,1,1,893.57,1225.278,1225.4799,994.1999,8.5986,11.7957,11.8963,9.3005
imgP1119634.RW2,1,1,606.5965,689.0958,689.0785,631.836,4.3126,5.8352,5.8569,4.6064
imgP1119638.RW2,1,1,549.3778,581.8599,581.801,559.3086,2.7436,3.7476,3.744,2.9561
imgP1119642.RW2,1,1,526.6549,539.5494,539.4167,530.6086,1.8013,2.3514,2.4137,1.9081
imgP1119646.RW2,1,1,517.5941,522.8351,522.8128,519.1845,1.2745,1.5861,1.5841,1.3242
imgP1119650.RW2,1,1,513.9514,516.1943,516.0603,514.5879,0.9965,1.1204,1.1594,1.019
imgP1119652.RW2,1,1,513.0953,514.5611,514.5473,513.4856,0.908,0.9712,0.9687,0.9215
imgP1119655.RW2,1,1,512.6057,513.2424,513.2379,512.8005,0.7479,0.8319,0.8288,0.7463
imgP1119657.RW2,1,1,512.3337,512.7482,512.7343,512.4622,0.7119,0.7629,0.7658,0.7145
imgP1119658.RW2,1,1,512.2417,512.5717,512.5676,512.3365,0.6995,0.7443,0.7449,0.6996
imgP1119659.RW2,1,1,512.17,512.4219,512.2907,512.2588,0.6867,0.7274,0.7776,0.6988
imgP1119660.RW2,1,1,12863.7499,16383,16383,16298.3894,59.9845,0,0,60.7757
imgP1119661.RW2,1,1,10311.8885,16383,16383,13043.398,52.1911,0,0,58.0076
imgP1119662.RW2,1,1,8288.0377,15126.42,15128.6313,10454.1399,45.1427,68.2487,71.0433,50.5557
imgP1119663.RW2,1,1,6666.1808,12079.0996,12080.931,8379.3956,39.055,58.2996,60.2313,43.5411
imgP1119665.RW2,1,1,4389.6831,7792.3995,7793.2252,5466.8442,29.2958,43.6301,44.7906,32.5433
imgP1119667.RW2,1,1,2952.9882,5083.72,5084.3438,3628.5142,22.6812,32.2765,33.1305,24.9841
imgP1119669.RW2,1,1,2048.6259,3388.1789,3388.6638,2473.2819,17.6901,24.8403,24.9946,19.3734
imgP1119671.RW2,1,1,1482.4553,2328.598,2328.7307,1750.4194,13.9831,19.2238,19.3495,15.1821
imgP1119673.RW2,1,1,1126.4378,1655.6673,1655.9205,1291.8546,10.951,15.1604,15.1963,11.8087
imgP1119677.RW2,1,1,754.8259,968.4519,968.683,822.349,6.844,9.43,9.4774,7.4339
imgP1119680.RW2,1,1,511.7612,511.6071,511.7322,511.6429,0.6933,0.727,0.6923,0.6986
