#BlackLevel: 512.2103118896484,512.3174896240234,512.3676910400391,512.2572021484375
#ImageWidth: 7008
#ImageHeight: 4672
#Mode: Independent
Filename,Row,Col,R_Mean,G1_Mean,G2_Mean,B_Mean,R_Std,G1_Std,G2_Std,B_Std
imgATV04301.ARW,1,1,16383.0000,16383.0000,16383.0000,16383.0000,0.0000,0.0000,0.0000,0.0000
imgATV04302.ARW,1,1,15748.4949,16383.0000,16383.0000,16383.0000,80.6170,0.0000,0.0000,0.0000
imgATV04303.ARW,1,1,12535.5665,16383.0000,16383.0000,16356.0904,66.9341,0.0000,0.0000,42.2108
imgATV04304.ARW,1,1,10043.6931,16383.0000,16383.0000,13098.6244,57.3075,0.0000,0.0000,62.5420
imgATV04305.ARW,1,1,8066.8068,16383.0000,16383.0000,10487.0502,49.6279,0.0000,0.0000,54.2936
imgATV04306.ARW,1,1,6487.6829,13739.6291,13743.5037,8398.6804,42.6822,71.7629,76.6024,47.5981
imgATV04307.ARW,1,1,5251.0792,10997.5530,11000.4317,6767.5055,36.6601,61.4897,64.7268,40.9924
imgATV04308.ARW,1,1,4273.6347,8826.6725,8828.9263,5472.9596,32.0575,52.7751,55.3694,35.2731
imgATV04309.ARW,1,1,3497.0789,7105.8872,7107.5910,4448.8086,27.9262,45.5634,47.2307,30.6090
imgATV04310.ARW,1,1,2881.3210,5740.1282,5741.4178,3635.9226,24.6111,39.2090,40.4747,26.7391
imgATV04311.ARW,1,1,2387.9077,4647.8345,4648.7859,2983.6942,21.5185,34.0213,34.9058,23.4580
imgATV04312.ARW,1,1,2001.0226,3793.7018,3794.4831,2474.1684,19.0170,29.4978,30.0752,20.5906
imgATV04313.ARW,1,1,1694.4025,3116.0278,3116.7717,2069.0292,16.8262,25.9508,26.4584,18.1040
imgATV04314.ARW,1,1,1448.4397,2573.2687,2573.9559,1745.1488,14.7917,22.6993,23.0839,15.8932
imgATV04315.ARW,1,1,1255.3801,2149.2862,2149.6968,1491.4510,13.0900,19.9123,20.2472,14.1442
imgATV04316.ARW,1,1,1102.1587,1812.1014,1812.4670,1289.9425,11.6648,17.5723,17.7994,12.4868
imgATV04317.ARW,1,1,979.5814,1541.9427,1542.2851,1128.0366,10.3287,15.5998,15.7401,11.0949
imgATV04318.ARW,1,1,883.2792,1329.7913,1330.0712,1001.3087,9.2087,13.8815,13.9302,9.8795
imgATV04319.ARW,1,1,806.9551,1161.1576,1161.1865,900.3029,8.2021,12.1854,12.3011,8.8197
imgATV04320.ARW,1,1,745.7606,1026.3850,1026.2688,819.7477,7.2657,10.8266,10.9244,7.8069
