#BlackLevel: 512.2583618164062,512.2552337646484,512.2452697753906,512.2714691162109
#ImageWidth: 7008
#ImageHeight: 4672
#Mode: Independent
Filename,Row,Col,R_Mean,G1_Mean,G2_Mean,B_Mean,R_Std,G1_Std,G2_Std,B_Std
imgATV04253.ARW,1,1,16383.0000,16383.0000,16383.0000,16383.0000,0.0000,0.0000,0.0000,0.0000
imgATV04254.ARW,1,1,15798.2674,16383.0000,16383.0000,16383.0000,80.4903,0.0000,0.0000,0.0000
imgATV04255.ARW,1,1,12567.8779,16383.0000,16383.0000,16375.5510,66.4030,0.0000,0.0000,22.5000
imgATV04256.ARW,1,1,10068.4205,16383.0000,16383.0000,13147.6165,57.0622,0.0000,0.0000,63.1202
imgATV04257.ARW,1,1,8083.3546,16383.0000,16383.0000,10521.2793,49.4188,0.0000,0.0000,53.8261
imgATV04258.ARW,1,1,6503.2778,13772.3474,13776.0056,8428.4629,42.6001,71.6516,76.1781,47.5835
imgATV04259.ARW,1,1,5260.9266,11023.6922,11026.5224,6790.2495,36.6102,61.3570,65.0383,41.0468
imgATV04260.ARW,1,1,4280.9596,8847.1610,8848.5901,5488.1350,32.1010,52.7567,55.3741,35.0696
imgATV04261.ARW,1,1,3502.7573,7117.2591,7118.7851,4460.1228,27.9975,45.4916,47.5481,30.5103
imgATV04262.ARW,1,1,2885.5345,5749.5922,5751.3337,3644.1702,24.6024,39.2646,40.6659,26.8970
imgATV04263.ARW,1,1,2391.8439,4657.7543,4658.5136,2991.7014,21.6505,34.0759,35.0006,23.6145
imgATV04264.ARW,1,1,2003.6980,3800.3942,3800.8884,2479.7250,19.0640,29.6577,30.2989,20.6198
imgATV04265.ARW,1,1,1696.6829,3121.8033,3122.3147,2073.5773,16.8244,25.9236,26.5144,18.2226
imgATV04266.ARW,1,1,1449.9869,2579.0490,2579.5665,1748.5892,14.9200,22.7165,23.1570,15.8689
imgATV04267.ARW,1,1,1256.8111,2153.3553,2153.6242,1494.2253,13.2276,20.0806,20.2954,14.2555
imgATV04268.ARW,1,1,1104.8214,1815.6709,1815.8810,1292.2197,11.6335,17.7094,17.8480,12.6390
imgATV04269.ARW,1,1,983.0605,1545.0866,1545.3229,1131.0689,10.3691,15.6672,15.7431,11.1168
imgATV04270.ARW,1,1,886.3639,1331.8812,1332.0947,1005.2139,9.1350,13.8646,14.0271,9.8718
imgATV04271.ARW,1,1,809.3041,1163.8503,1163.9910,904.2310,7.9776,12.3253,12.3704,8.6846
imgATV04272.ARW,1,1,747.4266,1030.0349,1029.9851,822.6150,7.0875,10.8992,10.9459,7.7138
imgATV04273.ARW,1,1,699.0173,923.8267,924.1778,758.6726,6.2427,9.6105,9.6354,6.7637
imgATV04274.ARW,1,1,660.5293,839.1703,839.3686,707.8299,5.5094,8.4240,8.4681,5.9555
imgATV04275.ARW,1,1,629.5887,771.1315,771.3380,667.2110,4.8394,7.3578,7.4452,5.2567
imgATV04276.ARW,1,1,605.2991,717.8044,717.7736,635.1315,4.2594,6.5566,6.5898,4.6981
imgATV04277.ARW,1,1,586.1085,675.4255,675.4399,609.8295,3.7626,5.7731,5.8240,4.1040
imgATV04278.ARW,1,1,570.7001,641.4266,641.4456,589.4999,3.3204,5.1422,5.1117,3.6441
imgATV04279.ARW,1,1,558.6439,614.7209,614.7935,573.5258,2.9050,4.5109,4.5217,3.1915
imgATV04280.ARW,1,1,549.0697,593.5431,593.5578,560.8550,2.5591,3.9641,3.9639,2.8065
imgATV04281.ARW,1,1,541.3975,576.6505,576.6861,550.7344,2.2678,3.5011,3.4917,2.4684
imgATV04282.ARW,1,1,535.3206,563.2831,563.2720,542.7549,2.0086,3.0626,3.0616,2.1535
imgATV04283.ARW,1,1,530.5510,552.6938,552.7117,536.4367,1.7915,2.7074,2.7058,1.9023
