#BlackLevel: 512.3353576660156,512.2672271728516,512.2666473388672,512.27001953125
#ImageWidth: 9984
#ImageHeight: 6656
#Mode: Independent
Filename,Row,Col,R_Mean,G1_Mean,G2_Mean,B_Mean,R_Std,G1_Std,G2_Std,B_Std
imgDSC04371.ARW,1,1,13100.1138,16383.0000,16383.0000,14204.9579,83.6632,0.0000,0.0000,86.6373
imgDSC04372.ARW,1,1,10470.5386,16383.0000,16383.0000,11344.9205,73.1238,0.0000,0.0000,75.6689
imgDSC04373.ARW,1,1,8413.4846,15179.7998,15181.7287,9110.3080,63.8783,97.5321,109.2699,68.2467
imgDSC04374.ARW,1,1,6776.7565,12130.0671,12132.4558,7329.9496,56.3864,84.0614,92.4234,59.1020
imgDSC04375.ARW,1,1,5476.7613,9707.9326,9710.1821,5916.7126,49.4160,72.8911,78.5455,51.3565
imgDSC04376.ARW,1,1,4454.6932,7809.7941,7811.3358,4802.6818,43.4925,63.7907,68.0328,45.2627
imgDSC04377.ARW,1,1,3648.2601,6311.1896,6312.5582,3923.7273,38.4774,55.7246,58.9635,39.6178
imgDSC04378.ARW,1,1,2998.6375,5104.8379,5105.2723,3215.7151,34.1354,48.2406,50.4136,34.5567
imgDSC04379.ARW,1,1,2485.6161,4157.1474,4157.8607,2658.6177,30.1465,42.4478,44.1551,30.6478
imgDSC04380.ARW,1,1,2081.0357,3408.1875,3408.6001,2218.4801,26.6094,37.3223,38.5824,27.0638
imgDSC04381.ARW,1,1,1759.0369,2814.0033,2814.3180,1868.2007,23.8662,33.1136,33.7433,24.0315
imgDSC04382.ARW,1,1,1502.9107,2341.1516,2341.6229,1589.7107,21.1722,29.2205,29.6882,21.4182
imgDSC04383.ARW,1,1,1297.3410,1961.1119,1961.6166,1366.1191,18.8217,25.8869,26.3175,18.9987
imgDSC04386.ARW,1,1,1136.6728,1665.3529,1665.3377,1191.0436,16.8027,23.0568,23.1753,16.8820
imgDSC04387.ARW,1,1,1008.2078,1428.5415,1428.7669,1051.8916,15.0421,20.4682,20.6588,15.0708
imgDSC04388.ARW,1,1,904.9327,1238.1847,1238.4819,939.4014,13.3843,18.2279,18.2981,13.4526
imgDSC04389.ARW,1,1,823.9683,1088.5905,1088.6766,851.5544,11.9191,16.2079,16.3813,11.9556
imgDSC04390.ARW,1,1,759.9652,970.2368,970.4534,781.8685,10.6765,14.5624,14.5319,10.7013
imgDSC04391.ARW,1,1,708.6133,875.3541,875.2988,726.0494,9.5938,12.8572,12.9649,9.6218
imgDSC04392.ARW,1,1,668.2541,800.7419,800.6195,682.1452,8.5653,11.5703,11.5168,8.5975
imgDSC04393.ARW,1,1,636.1181,741.3356,741.3432,647.1256,7.6156,10.3061,10.3104,7.6692
imgDSC04394.ARW,1,1,610.5193,694.0036,694.1207,619.2931,6.8656,9.2440,9.2479,6.9464
imgDSC04395.ARW,1,1,590.5066,656.7600,656.8800,597.3504,6.0700,8.3012,8.2625,6.1994
imgDSC04396.ARW,1,1,574.3340,627.0809,627.0212,579.7686,5.5499,7.3917,7.3744,5.5733
imgDSC04397.ARW,1,1,561.3020,603.1467,603.1326,565.7542,4.9740,6.6297,6.5948,5.0293
imgDSC04398.ARW,1,1,551.2120,584.5401,584.5102,554.6623,4.4818,5.8878,5.8732,4.5327
imgDSC04399.ARW,1,1,543.2984,569.8650,569.8519,546.0109,4.0528,5.3423,5.3401,4.0781
