#BlackLevel: 512.2026062011719,512.2671203613281,512.2702484130859,512.2450866699219
#ImageWidth: 9984
#ImageHeight: 6656
#Mode: Independent
Filename,Row,Col,R_Mean,G1_Mean,G2_Mean,B_Mean,R_Std,G1_Std,G2_Std,B_Std
imgDSC04322.ARW,1,1,13036.8306,16383.0000,16383.0000,14164.8767,83.9385,0.0000,0.0000,87.2741
imgDSC04323.ARW,1,1,10423.7815,16383.0000,16383.0000,11314.8644,72.9385,0.0000,0.0000,75.3675
imgDSC04324.ARW,1,1,8384.3090,15132.8316,15137.2446,9093.6969,64.0179,98.3075,108.6798,68.3508
imgDSC04325.ARW,1,1,6767.0964,12112.8818,12115.9524,7329.9142,56.2447,83.8709,92.1307,59.4785
imgDSC04326.ARW,1,1,5465.0077,9691.1571,9694.0866,5911.9975,49.3491,73.1871,78.4941,51.3043
imgDSC04327.ARW,1,1,4449.7201,7800.2811,7803.6907,4803.2404,43.4416,63.5548,67.3958,44.8964
imgDSC04328.ARW,1,1,3640.8531,6299.5982,6301.1070,3920.6170,38.2844,55.7456,58.7043,39.5531
imgDSC04329.ARW,1,1,2990.2283,5091.4978,5092.2295,3211.0719,34.0231,48.5129,50.1724,34.7359
imgDSC04330.ARW,1,1,2481.5149,4149.4624,4150.4877,2656.6450,30.0323,42.3096,43.7836,30.7263
imgDSC04331.ARW,1,1,2078.5326,3403.6660,3404.4165,2217.7605,26.8660,37.3433,38.4795,27.3094
imgDSC04332.ARW,1,1,1757.7873,2811.7125,2811.8188,1868.2116,23.8248,33.0581,33.7569,24.1499
imgDSC04333.ARW,1,1,1502.4986,2340.2674,2340.6930,1590.5186,21.2276,29.3226,29.6738,21.3725
imgDSC04334.ARW,1,1,1296.6696,1960.7596,1961.1048,1366.4832,18.8056,26.0239,26.3483,19.0449
imgDSC04335.ARW,1,1,1134.7811,1662.4932,1662.6707,1190.1198,16.6817,23.0890,23.2917,16.7548
imgDSC04336.ARW,1,1,1006.7023,1426.1519,1426.4923,1050.7991,14.8208,20.3653,20.5994,14.9164
imgDSC04337.ARW,1,1,904.5497,1237.5600,1237.7524,939.4254,13.1479,18.0616,18.1466,13.3528
imgDSC04338.ARW,1,1,823.9024,1088.4579,1088.7154,851.5657,11.6863,15.9509,16.1247,11.7481
imgDSC04339.ARW,1,1,759.6404,969.8300,969.8594,781.6827,10.3422,14.1603,14.1377,10.4470
imgDSC04340.ARW,1,1,708.3442,874.9293,874.9316,725.7657,9.1627,12.5801,12.6567,9.2505
imgDSC04341.ARW,1,1,667.9305,800.3934,800.4393,681.8794,8.1122,11.2095,11.2504,8.1807
imgDSC04342.ARW,1,1,635.7730,741.0238,741.1186,646.8398,7.2141,9.9665,9.9604,7.3024
imgDSC04343.ARW,1,1,610.1583,693.3999,693.5596,618.8836,6.3600,8.8477,8.8561,6.4337
