#BlackLevel: 512.2229156494141,512.1375885009766,512.1600036621094,512.1138610839844
#ImageWidth: 9984
#ImageHeight: 6656
#Mode: Independent
Filename,Row,Col,R_Mean,G1_Mean,G2_Mean,B_Mean,R_Std,G1_Std,G2_Std,B_Std
imgATR00451.ARW,1,1,512.2182,512.1084,512.1030,512.1093,2.8359,2.7603,2.7420,2.6138
imgATR00452.ARW,1,1,512.2010,512.1097,512.1239,512.0922,2.7767,2.7378,2.7287,2.6028
imgATR00457.ARW,1,1,16383.0000,16383.0000,16383.0000,16383.0000,0.0000,0.0000,0.0000,0.0000
imgATR00458.ARW,1,1,16383.0000,16383.0000,16383.0000,16383.0000,0.0000,0.0000,0.0000,0.0000
imgATR00459.ARW,1,1,16383.0000,16383.0000,16383.0000,16383.0000,0.0000,0.0000,0.0000,0.0000
imgATR00460.ARW,1,1,15613.7922,16383.0000,16383.0000,16368.6611,215.8484,0.0000,0.0000,50.5462
imgATR00461.ARW,1,1,12489.8671,16383.0000,16383.0000,13291.4541,191.7020,0.0000,0.0000,189.1017
imgATR00462.ARW,1,1,10013.3207,16383.0000,16383.0000,10645.0998,168.7062,0.0000,0.0000,167.7224
imgATR00463.ARW,1,1,8047.8831,15601.9567,15606.7391,8552.6470,149.0307,219.4744,223.9616,150.3883
imgATR00464.ARW,1,1,6493.5089,12482.8042,12485.8149,6892.6681,132.3436,192.2549,196.5711,132.8799
imgATR00465.ARW,1,1,5249.3829,9985.0658,9987.1812,5566.4380,117.3914,170.0219,172.3298,118.4408
imgATR00466.ARW,1,1,4271.5059,8023.7957,8026.1140,4521.8847,104.4189,150.3653,152.0433,103.9440
imgATR00467.ARW,1,1,3496.7023,6474.0148,6476.6556,3695.1391,92.1781,133.0668,134.2144,92.8883
imgATR00468.ARW,1,1,2876.3571,5231.2781,5232.5495,3032.7408,82.0781,117.9496,118.4330,81.8114
imgATR00469.ARW,1,1,2388.5028,4257.4716,4258.7884,2513.0059,73.0260,104.3816,105.1128,72.6146
imgATR00470.ARW,1,1,2001.7685,3485.3331,3486.3327,2100.6592,65.1935,92.8127,92.9592,64.9836
imgATR00471.ARW,1,1,1691.9167,2865.8132,2866.7050,1770.4435,57.8120,82.4293,82.7693,57.6740
imgATR00472.ARW,1,1,1448.9197,2380.1375,2381.3958,1511.0291,51.6444,72.9741,73.5651,51.2026
imgATR00473.ARW,1,1,1255.5480,1995.7013,1997.1326,1305.3210,46.0503,65.0154,65.2583,45.5775
imgATR00474.ARW,1,1,1101.1272,1687.5549,1688.5524,1140.3136,41.0822,57.7821,58.1370,40.7286
imgATR00475.ARW,1,1,979.6469,1445.1304,1445.7930,1010.7835,36.4736,51.3137,51.6897,36.2295
imgATR00476.ARW,1,1,883.4717,1253.3857,1253.5157,908.0849,32.5647,45.9235,45.8701,32.2285
imgATR00477.ARW,1,1,806.3037,1098.9196,1099.4388,825.9544,29.1802,40.9271,40.8520,28.7908
imgATR00478.ARW,1,1,745.4320,978.1701,978.3181,761.1465,25.9337,36.4250,36.4998,25.8312
imgATR00479.ARW,1,1,697.5264,882.0115,882.1847,709.6606,23.2177,32.3816,32.4340,22.9701
imgATR00480.ARW,1,1,659.0273,805.6543,805.4087,668.7877,20.6430,29.0813,28.8974,20.4418
imgATR00481.ARW,1,1,628.6333,744.9496,745.1842,636.5170,18.4917,25.8971,25.9002,18.3569
imgATR00482.ARW,1,1,604.7253,696.9735,697.2247,611.0237,16.4633,23.1486,23.0931,16.3344
imgATR00483.ARW,1,1,585.4668,658.3475,658.5473,590.3891,14.6333,20.6110,20.4191,14.6278
imgATR00484.ARW,1,1,570.3779,628.4957,628.3197,574.3079,13.2023,18.3430,18.4004,13.1166
imgATR00485.ARW,1,1,558.4677,604.4483,604.5065,561.5741,11.7391,16.4391,16.4092,11.7192
imgATR00486.ARW,1,1,549.2783,586.0493,586.1550,551.7777,10.6194,14.7498,14.7331,10.4717
imgATR00487.ARW,1,1,541.6795,571.0734,571.0998,543.7600,9.6056,13.2387,13.2421,9.5106
imgATR00488.ARW,1,1,535.7900,559.0565,559.0531,537.3094,8.5931,11.9311,11.8864,8.5600
imgATR00489.ARW,1,1,530.9727,549.5645,549.6797,532.2915,7.7904,10.7058,10.5852,7.7666
imgATR00490.ARW,1,1,527.1960,541.9623,541.9455,528.1298,7.0631,9.5385,9.5223,7.0080
imgATR00491.ARW,1,1,524.2066,536.0819,536.1022,525.0878,6.3541,8.6966,8.6443,6.3424
imgATR00492.ARW,1,1,521.8375,531.4149,531.4255,522.4339,5.8913,7.8633,7.8540,5.8324
imgATR00493.ARW,1,1,519.9632,527.5806,527.5615,520.4404,5.3562,7.1328,7.1150,5.3129
imgATR00494.ARW,1,1,518.3071,524.3512,524.3787,518.7203,4.9211,6.4638,6.4561,4.8593
imgATR00495.ARW,1,1,517.2109,522.0732,522.1285,517.4814,4.6408,5.9670,5.8954,4.5376
imgATR00496.ARW,1,1,516.2862,520.1877,520.1623,516.5003,4.2732,5.4754,5.4273,4.1707
imgATR00497.ARW,1,1,515.4599,518.6882,518.6064,515.6029,4.0393,5.0522,5.0065,3.9289
imgATR00498.ARW,1,1,514.8729,517.4160,517.3536,514.9714,3.8326,4.6504,4.6393,3.7080
imgATR00499.ARW,1,1,514.3892,516.4411,516.4350,514.4883,3.6245,4.4148,4.3959,3.5847
imgATR00500.ARW,1,1,514.0190,515.7993,515.7527,514.1517,3.5501,4.2063,4.1426,3.3875
imgATR00501.ARW,1,1,513.7292,515.1623,515.1444,513.8229,3.4077,3.9728,3.9722,3.2740
